contamination,trial_dimension,target_best_approximation_h1,cumulative_best_approximation_h1,ordered_h1_gap,lambda7_ratio,lambda8_ratio,ordered_cluster_relative_error,lower_ritz_values_below_cluster,correct_ordered_cluster
0.0,8,0.0,2.856277777636159e-08,0.0,1.0,1.0,0.0,6,1
0.2,8,2.575951845784187e-08,0.49591597214914346,0.0,1.0,1.0,0.0,6,1
0.35,8,2.460106115196273e-10,0.7073397225105524,0.0,1.0,1.0,0.0,6,1
0.5,8,1.5432714491978783e-08,0.8197892045546996,0.0,1.0,1.0,0.0,6,1
0.55,8,1.5363169581538657e-08,0.8442870442794945,1.0,1.0,1.0197227288800743,0.019722728880074404,5,0
0.65,8,0.0,0.8811897406189378,1.0,1.0,1.084889335347737,0.08488933534773682,5,0
0.75,8,2.990860654661167e-08,0.9069541472458934,0.9999950719220009,1.0285592751124817,1.1482660323577547,0.14826603235775465,4,0
0.9,8,2.969507974765522e-08,0.9328095357744542,0.9999959666083166,1.0875135697026033,1.2363203121345725,0.2363203121345725,3,0
1.1,8,2.0978512424400173e-08,0.9537343985364385,0.999996890354286,1.1548775883850406,1.3369353765534422,0.33693537655344225,3,0
1.3,8,2.5761156010302804e-08,0.9664089302195694,0.9999975629756832,1.209269651053536,1.4181754954819863,0.4181754954819863,2,0
1.55,8,0.0,0.9762066548224878,0.9999981559039539,1.2617109330027034,1.4965019235176582,0.49650192351765815,1,0
1.8,8,0.0,0.9823524940384758,0.9999985661317705,1.3008183984350867,1.5549129303236378,0.5549129303236378,0,0
2.2,8,2.567729166928143e-08,0.9882758347451482,0.999998993757901,1.3443475421304245,1.6199281666867034,0.6199281666867034,0,0
