N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
128,0,2032097536,512,89,0.0007616232234710375,0.0012910066161585954,4.3996869237950677e-07,1.7106000195867496e-07,0.2139571645322446,0.24574307762131137,88.45261202909182,0.0975644999416545,1,35.91532003762709,67.99131286229715,67.99132599815265,100.06730067486276,117.84176865765204,117.84177302977001,149.91773868677177,149.91776433169355,186.7590009196797,186.759096491612
128,1,2032097537,512,89,0.0006646066246727662,0.001443131403081385,3.3676691419198864e-07,7.052826900172807e-08,0.21395695797823436,0.24574284573384503,110.894858692729,0.07738640008028597,1,35.91533173729754,67.99130016787663,67.99132289756128,100.06729854913183,117.84179546133124,117.84180359558478,149.91773828648473,149.9177488599205,186.7589506838714,186.75901327166184
128,2,2032097538,512,92,0.0006714506702141119,0.001165862473171208,3.431381846338682e-07,3.174487415336651e-08,0.2139571781955921,0.24574254390456632,57.34633338556242,0.0857582000317052,1,35.91531495280128,67.99129659674598,67.99131669341538,100.06727617405514,117.84175866449758,117.84177735058886,149.91774505596823,149.9177498150867,186.75890638948684,186.75896735688698
128,3,2032097539,512,90,0.0006996070998217833,0.0015537950634874158,3.7093032393770296e-07,3.761545679924739e-08,0.2139570611922333,0.24574299356845813,78.4354154779119,0.08845679997466505,1,35.91533586763265,67.99130953406065,67.99134064827577,100.06730364743092,117.84178017329923,117.84179817789243,149.91774834239754,149.91775398162025,186.7589779685961,186.7590807839683
128,4,2032097540,512,94,0.0006448696959733346,0.0015273657059349396,3.1694430247700403e-07,8.591257800057367e-08,0.21395715577109609,0.24574272668452352,51.82697336307349,0.08731059997808188,1,35.915337357885065,67.99130832636118,67.99131824758601,100.0673019256898,117.84176189553615,117.84176866479368,149.91773300834421,149.91774588816017,186.7589298645108,186.75894180537284
128,5,2032097541,512,90,0.0006110600836442292,0.001432823655992433,2.866784921821557e-07,7.34697341599695e-08,0.21395691804254596,0.24574289750047304,43.664452826428466,0.08531420002691448,1,35.915331300522375,67.99130151763693,67.99131160972543,100.06729258154736,117.84177758342501,117.84180163253264,149.9177303363661,149.91774135077955,186.75895093546418,186.75898899684384
128,6,2032097542,512,85,0.0007354651389524304,0.0015183889641512472,4.1111876998923673e-07,7.192211002679206e-08,0.21395699900513448,0.24574280842995103,32.81797279142789,0.08316300006117672,1,35.91533378895011,67.99131635058312,67.99135305063633,100.0673052664796,117.841787022152,117.841808382624,149.9177492241824,149.91776000657958,186.75895623801657,186.75980866589947
128,7,2032097543,512,96,0.0006338371441576379,0.0012861615606283778,3.064451341477305e-07,5.936972262572433e-08,0.21395710817926022,0.24574272079148374,71.79591199881314,0.08635330002289265,1,35.91532312736224,67.9912987005793,67.99131725977101,100.06729336312127,117.84175662692334,117.8417782048848,149.91773541357685,149.91774431414902,186.7589274070287,186.7589543867024
128,8,2032097544,512,94,0.0007255175381339573,0.0014662182546821088,4.0010551060032837e-07,1.0281248522101662e-07,0.2139572172858535,0.24574276417656768,135.8236388728098,0.08770829997956753,1,35.91533127566524,67.99130681911775,67.9913217394632,100.0673007465831,117.84176336482179,117.84176937638455,149.91774294208594,149.91775835549709,186.7589479525687,186.7589820828271
128,9,2032097545,512,90,0.0006787476723790467,0.0010442991560036569,3.50693853020411e-07,1.9138309880641228e-08,0.21395721448870875,0.24574277841672662,73.98177569875774,0.08637850009836257,1,35.91530322235529,67.99128998221171,67.99131672908153,100.06728248396094,117.84175481972684,117.84177493228385,149.91774807864374,149.9177509478151,186.75894267973857,186.75899088046236
