group,order_per_subinterval,N,samples,rank_median,index_success_count,h1_gap_mean,h1_gap_median,h1_gap_q90,eta_f_h1_mean,eta_f_h1_median,eta_f_h1_q90,cluster_relative_error_mean,cluster_relative_error_median,cluster_relative_error_q90,splitting_relative_error_mean,splitting_relative_error_median,splitting_relative_error_q90,lower_external_gap_relative_mean,lower_external_gap_relative_median,lower_external_gap_relative_q90,upper_external_gap_relative_mean,upper_external_gap_relative_median,upper_external_gap_relative_q90,measurement_and_solve_seconds_median
calibration,128,128,20,90.0,20,0.0006836591010280302,0.0006720462319493973,0.0007627448649584942,0.0013732798670945117,0.001362909024847102,0.0015430841319859858,3.581839901610562e-07,3.431795795023732e-07,4.414020035409853e-07,9.046535903242465e-08,7.382109146743057e-08,1.331309496073629e-07,0.21395708410163836,0.21395707637762154,0.21395721464397544,0.2457428082964117,0.2457427855788519,0.2457429364900485,0.028827000001911074
calibration,128,160,20,99.0,20,0.0006091180184888007,0.0006170114535707066,0.0006568705245664381,0.001226669063757467,0.0012121855881681454,0.001401924339104698,2.8559988286888043e-07,2.913632317939511e-07,3.288298126277032e-07,6.407813320037928e-08,5.8679931252606e-08,9.829195800684593e-08,0.2139571698140422,0.21395716313223737,0.21395726522493771,0.24574271815614807,0.24574272356603533,0.24574286096724454,0.030301549995783716
calibration,128,216,20,112.0,20,0.0005264705312483935,0.0005206851321923546,0.0005851701036747545,0.0009362959092875632,0.0009308890668566674,0.0010877685262735744,2.161040490234608e-07,2.099342078567395e-07,2.6377229875987126e-07,6.36835881466609e-08,6.187556465340187e-08,1.0339000536458772e-07,0.2139572327158794,0.2139572302621019,0.21395728525415075,0.24574261255555152,0.24574261369019046,0.2457426765364391,0.05059875000733882
calibration,128,288,20,125.0,20,0.0004418520140566684,0.00045149460980630125,0.0005006787450470736,0.0007779863482563802,0.0007706938371375283,0.0008787000329423842,1.5447171265532617e-07,1.591824345388956e-07,1.9469249294525956e-07,3.42229534681023e-08,2.592844866260661e-08,6.470981539976819e-08,0.21395724806543898,0.21395724583104653,0.21395729765459842,0.24574259046535704,0.24574259225949574,0.24574263009548186,0.0760277999797836
calibration,128,384,20,137.5,20,0.0003706462410142097,0.0003703045043182846,0.00044572189944659907,0.0006527197006841151,0.0006464191426053083,0.0007358098451177078,1.1049275451636902e-07,1.0803711223159376e-07,1.5598234110586453e-07,3.196566521909111e-08,2.6384725528753034e-08,5.724495768376426e-08,0.2139572538852696,0.21395726476484356,0.21395729726045074,0.2457425517620467,0.24574254668518197,0.24574259670253898,0.15831840003374964
calibration,128,512,20,152.0,20,0.00029649599002043366,0.00028500231045833603,0.00035900843932272914,0.0005754929679624987,0.0005731202813384082,0.0006027765100328109,7.143058614521721e-08,6.462191477627617e-08,1.0228986916701254e-07,2.4377506169972616e-08,1.9204591189089164e-08,5.246814230123668e-08,0.21395725505595173,0.21395725431588064,0.21395727074161283,0.2457425405343685,0.24574254215943642,0.2457425693509381,0.2595190499559976
calibration,128,672,20,164.5,20,0.00025370681411435256,0.00024448177687263253,0.00030681261833556347,0.00052821415558552,0.0005278860748686496,0.0005759194058677555,5.2724235569733864e-08,4.794744425465162e-08,7.504897755116048e-08,1.8994873849769037e-08,2.047032828345975e-08,3.0864255371170654e-08,0.21395725283136793,0.213957252744718,0.21395726060993983,0.24574253465725243,0.2457425342680301,0.2457425630620045,0.4016305999830365
calibration,128,896,20,181.5,20,0.00019910647098259402,0.00019774021137931798,0.00024899651793113415,0.00048704591611756036,0.0005044761561447798,0.000521344566637972,3.285437658736376e-08,3.166724019587552e-08,4.991767024369436e-08,1.0112632805721664e-08,8.078216039331572e-09,1.7017697772110256e-08,0.2139572509041004,0.21395724931056442,0.2139572612824279,0.24574253089496004,0.24574253245551841,0.24574254063562834,0.7200140500208363
calibration,256,128,20,90.0,20,0.0006836590939746485,0.0006720459957038275,0.0007627438812075134,0.0013732795756994133,0.0013629090301562159,0.001543084043143461,3.5818449237347137e-07,3.431794058451858e-07,4.4140037468965063e-07,9.046600766856102e-08,7.38223005271604e-08,1.3313374893847364e-07,0.21395708410169473,0.2139570763769435,0.2139572146466501,0.24574280829778988,0.24574278557882917,0.24574293648828927,0.03952844999730587
calibration,256,160,20,99.0,20,0.0006091180287760001,0.0006170114638782706,0.0006568705954351922,0.0012266691342212397,0.0012121856877889952,0.0014019250505373335,2.855999091259988e-07,2.9136322430545885e-07,3.2882979410553375e-07,6.407819253009194e-08,5.868008727865973e-08,9.829201675833324e-08,0.21395716981397986,0.21395716313220647,0.21395726522477207,0.24574271815555665,0.24574272356588234,0.2457428609643162,0.04733079997822642
calibration,256,216,20,112.0,20,0.0005264705228493133,0.0005206851377364461,0.000585170091631698,0.0009362957532736145,0.0009308889816116871,0.001087768498152418,2.1610410632464515e-07,2.0993413809053324e-07,2.637722802945764e-07,6.368370601932058e-08,6.187552247138857e-08,1.033903280143336e-07,0.21395723271580272,0.21395723026207042,0.21395728525377722,0.24574261255577032,0.24574261369045597,0.24574267653708046,0.08904910006094724
