group,N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
calibration,128,0,2032097536,128,89,0.0007616236619489875,0.0012910057197698182,4.399694888138345e-07,1.7106065165647097e-07,0.21395716453190097,0.2457430775950205,88.45261202909182,0.035933799925260246,1,35.91532003726462,67.99131286220023,67.99132599790964,100.06730067482347,117.8417686573448,117.84177302984352,149.91773868679377,149.91776433181295,186.75900091585763,186.75909649148
calibration,128,0,2032097536,256,89,0.0007616224762503855,0.0012910057621644932,4.3996728094090407e-07,1.7105845136682386e-07,0.21395716453224498,0.24574307763989628,88.45261202909182,0.05120430001989007,1,35.9153200373009,67.99131286218532,67.99132599794027,100.06730067486454,117.8417686574707,117.84177302979082,149.91773868679263,149.91776433148195,186.7590009222543,186.7590964918011
calibration,128,0,2032097536,512,89,0.0007616232234710375,0.0012910066161585954,4.3996869237950677e-07,1.7106000195867496e-07,0.2139571645322446,0.24574307762131137,88.45261202909182,0.0975644999416545,1,35.91532003762709,67.99131286229715,67.99132599815265,100.06730067486276,117.84176865765204,117.84177302977001,149.91773868677177,149.91776433169355,186.7590009196797,186.759096491612
calibration,128,1,2032097537,128,89,0.000664606893789694,0.0014431308288816876,3.367662133070304e-07,7.052721833782799e-08,0.21395695797822611,0.24574284572286123,110.894858692729,0.02823199995327741,1,35.91533173728007,67.99130016785779,67.99132289757361,100.06729854913569,117.84179546133211,117.84180359563845,149.91773828653717,149.91774885981542,186.75895068211966,186.75901327175967
calibration,128,1,2032097537,256,89,0.0006646063019327686,0.001443130520333454,3.367667572180245e-07,7.052632711245911e-08,0.2139569579799968,0.24574284571909327,110.894858692729,0.03966870007570833,1,35.915331737261425,67.99130016784159,67.99132289756233,100.06729854916952,117.84179546136092,117.84180359558815,149.91773828675232,149.91774885989696,186.75895068163632,186.75901327198528
calibration,128,1,2032097537,512,89,0.0006646066246727662,0.001443131403081385,3.3676691419198864e-07,7.052826900172807e-08,0.21395695797823436,0.24574284573384503,110.894858692729,0.07738640008028597,1,35.91533173729754,67.99130016787663,67.99132289756128,100.06729854913183,117.84179546133124,117.84180359558478,149.91773828648473,149.9177488599205,186.7589506838714,186.75901327166184
calibration,128,2,2032097538,128,92,0.0006714509306354657,0.0011658623744224793,3.4313841668233693e-07,3.174504648347931e-08,0.21395717819522336,0.2457425439092947,57.34633338556242,0.029494799906387925,1,35.915314952796216,67.99129659673555,67.99131669344186,100.06727617408777,117.84175866450629,117.84177735065309,149.91774505597718,149.91774981512148,186.7589063902305,186.7589673569245
calibration,128,2,2032097538,256,92,0.0006714507775242567,0.0011658622207959982,3.4313834350365316e-07,3.174503871061394e-08,0.21395717819509275,0.24574254390792874,57.34633338556242,0.04501080000773072,1,35.91531495279724,67.99129659676444,67.99131669343475,100.0672761740764,117.841758664457,117.84177735066287,149.91774505596737,149.9177498151105,186.75890639001474,186.7589673568828
calibration,128,2,2032097538,512,92,0.0006714506702141119,0.001165862473171208,3.431381846338682e-07,3.174487415336651e-08,0.2139571781955921,0.24574254390456632,57.34633338556242,0.0857582000317052,1,35.91531495280128,67.99129659674598,67.99131669341538,100.06727617405514,117.84175866449758,117.84177735058886,149.91774505596823,149.9177498150867,186.75890638948684,186.75896735688698
calibration,128,3,2032097539,128,90,0.0006996071098194019,0.0015537955596891372,3.7092993226112095e-07,3.76150979203656e-08,0.21395706119233937,0.2457429935736582,78.4354154779119,0.031822599936276674,1,35.91533586754302,67.99130953415074,67.99134064845364,100.0673036474388,117.84178017345758,117.84179817787161,149.91774834239263,149.91775398156153,186.75897796931696,186.75908078544407
calibration,128,3,2032097539,256,90,0.0006996070525314581,0.0015537952277037473,3.709302058280657e-07,3.7614990996071187e-08,0.2139570611929014,0.24574299356303078,78.4354154779119,0.03934430005028844,1,35.91533586752663,67.99130953410985,67.99134064834435,100.06730364746201,117.84178017332052,117.8417981778444,149.91774834244967,149.91775398160254,186.75897796776474,186.7590807864185
calibration,128,3,2032097539,512,90,0.0006996070998217833,0.0015537950634874158,3.7093032393770296e-07,3.761545679924739e-08,0.2139570611922333,0.24574299356845813,78.4354154779119,0.08845679997466505,1,35.91533586763265,67.99130953406065,67.99134064827577,100.06730364743092,117.84178017329923,117.84179817789243,149.91774834239754,149.91775398162025,186.7589779685961,186.7590807839683
calibration,128,4,2032097540,128,94,0.0006448698349083614,0.0015273662426706733,3.1694438342855314e-07,8.59124962906962e-08,0.2139571557698836,0.24574272668314903,51.82697336307349,0.027782700024545193,1,35.915337358038784,67.99130832636747,67.9913182476401,100.06730192561807,117.84176189545401,117.84176866499983,149.9177330083686,149.9177458881723,186.75892986431688,186.75894180628833
calibration,128,4,2032097540,256,94,0.0006448695663350485,0.0015273651064760814,3.1694411763447377e-07,8.591280682614699e-08,0.21395715577026495,0.24574272668489963,51.82697336307349,0.043426299933344126,1,35.91533735793304,67.99130832632814,67.99131824756243,100.06730192569665,117.84176189551549,117.84176866485626,149.9177330082822,149.91774588813246,186.75892986453948,186.75894180407514
calibration,128,4,2032097540,512,94,0.0006448696959733346,0.0015273657059349396,3.1694430247700403e-07,8.591257800057367e-08,0.21395715577109609,0.24574272668452352,51.82697336307349,0.08731059997808188,1,35.915337357885065,67.99130832636118,67.99131824758601,100.0673019256898,117.84176189553615,117.84176866479368,149.91773300834421,149.91774588816017,186.7589298645108,186.75894180537284
calibration,128,5,2032097541,128,90,0.0006110600861878616,0.0014328236128436148,2.866789703081673e-07,7.34698829819041e-08,0.2139569180440922,0.24574289750259068,43.664452826428466,0.03265559999272227,1,35.915331300533744,67.99130151760279,67.99131160978123,100.06729258157843,117.84177758339375,117.8418016323502,149.91773033641547,149.91774135085123,186.75895093585333,186.75898899665293
calibration,128,5,2032097541,256,90,0.0006110602013780609,0.0014328226708685413,2.866789433875116e-07,7.347171339690866e-08,0.21395691804132905,0.2457428975007411,43.664452826428466,0.04506930010393262,1,35.915331300502324,67.99130151764746,67.9913116097407,100.06729258159378,117.84177758337741,117.841801632486,149.91773033613703,149.9177413508472,186.75895093557202,186.758988995938
calibration,128,5,2032097541,512,90,0.0006110600836442292,0.001432823655992433,2.866784921821557e-07,7.34697341599695e-08,0.21395691804254596,0.24574289750047304,43.664452826428466,0.08531420002691448,1,35.915331300522375,67.99130151763693,67.99131160972543,100.06729258154736,117.84177758342501,117.84180163253264,149.9177303363661,149.91774135077955,186.75895093546418,186.75898899684384
calibration,128,6,2032097542,128,85,0.0007354648113795283,0.0015183885597726463,4.111174173210796e-07,7.192103092557964e-08,0.21395699900625367,0.24574280842930438,32.81797279142789,0.029409600072540343,1,35.91533378900032,67.99131635052616,67.99135305062681,100.0673052665092,117.84178702222457,117.8418083824152,149.91774922414137,149.9177600063768,186.75895623771683,186.7598086573457
calibration,128,6,2032097542,256,85,0.000735465932221688,0.00151839000852051,4.111238221621478e-07,7.192708807310897e-08,0.2139569990056,0.24574280842482454,32.81797279142789,0.04460830008611083,1,35.91533378907159,67.99131635060317,67.99135305076969,100.06730526656142,117.8417870232438,117.84180838256532,149.9177492241935,149.917760007337,186.75895623800542,186.75980868239222
calibration,128,6,2032097542,512,85,0.0007354651389524304,0.0015183889641512472,4.1111876998923673e-07,7.192211002679206e-08,0.21395699900513448,0.24574280842995103,32.81797279142789,0.08316300006117672,1,35.91533378895011,67.99131635058312,67.99135305063633,100.0673052664796,117.841787022152,117.841808382624,149.9177492241824,149.91776000657958,186.75895623801657,186.75980866589947
