N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
128,0,2031097536,512,92,0.0005979199945118,0.0014960122243583,2.728767618920749e-07,2.8399779452396246e-08,0.2139570791168761,0.2457427869229353,46.86651379767281,0.1394022000022232,1,35.91533464594382,67.9912983125823,67.99134153067808,100.06730151754616,117.84177560882826,117.84178217230004,149.91773502402634,149.9177392816559,186.7589322888106,186.75895227911167
128,1,2031097537,512,90,0.0006598362697058,0.0014009082708262,3.339332628472919e-07,3.657889344570143e-08,0.2139571817828865,0.245743192037075,46.55681616584268,0.1400497000431642,1,35.91532530623798,67.99131475650354,67.99132349639198,100.0672962526195,117.84175674818891,117.8417747081042,149.9177429512825,149.917748435106,186.7590021760401,186.75905307983265
128,2,2031097538,512,93,0.0006676812082976,0.0011901623228769,3.418529851377202e-07,4.302207199223145e-08,0.2139572596356751,0.2457425924611755,71.60311593384328,0.078470499953255,1,35.91531624506796,67.99129517235163,67.9913057045036,100.06729518612607,117.84174272816882,117.84176325795336,149.91774317264253,149.91774962241254,186.75891347630775,186.75896467964893
128,3,2031097539,512,87,0.0006701985931576,0.0017446385925915,3.415536175882243e-07,9.030490516593522e-08,0.2139570156820494,0.2457429329031154,89.68025763440168,0.080459399963729,1,35.91534966803275,67.99130627866597,67.99133179516743,100.06730385604698,117.84176643119586,117.8417926975054,149.91773603922852,149.91774957753205,186.75896446969932,186.759005054631
128,4,2031097540,512,88,0.0008667656467554,0.0014325400996836,5.685270031703295e-07,1.9140145224779928e-07,0.2139572281610784,0.2457428241656783,55.35312124059616,0.082127800094895,1,35.91532657286054,67.99131038772681,67.99131370072188,100.0672971734707,117.841767780687,117.84177971430434,149.91775491039442,149.9177836048596,186.7589821953606,186.75901758305952
128,5,2031097541,512,93,0.0006334127342179,0.0014844644087851,3.060615294020262e-07,1.0102181553126198e-08,0.2139571907589282,0.2457428932419127,40.572699457538256,0.0860524999443441,1,35.915333133125024,67.99130102024422,67.99130630344875,100.0672886359498,117.841756809725,117.84177315329826,149.91774274214407,149.91774425663988,186.75895320289092,186.75902024826573
128,6,2031097542,512,88,0.0007384529095767,0.0012502028929448,4.148568372553438e-07,1.9538567895618526e-07,0.2139571689321019,0.2457435565003507,34.76699146879996,0.087519499938935,1,35.91531966945551,67.99129947191425,67.99132750187566,100.06728594577493,117.84175305272532,117.84176495859248,149.91773127521074,149.91776056698205,186.75906894741155,186.75914003912305
128,7,2031097543,512,92,0.0006476707006047,0.0014137438907269,3.2069617681658254e-07,4.592107569317287e-08,0.2139571445975342,0.2457429575692928,40.07385840102302,0.0847055999329313,1,35.91533176927193,67.99130238478004,67.99131031695141,100.06729036278588,117.84175493408104,117.8417768978147,149.91773956625056,149.91774645063254,186.7589650406964,186.75901614783197
128,8,2031097544,512,86,0.0007151643576246,0.001474724179174,3.869529586513683e-07,3.4295222944638924e-08,0.2139570973846633,0.2457427921623265,47.39359612100841,0.0868928999407216,1,35.91533215018473,67.99132001342568,67.99132841685743,100.06730543099292,117.84178936797028,117.84179565184496,149.91775124223588,149.91775638369677,186.7589501763289,186.75899300600992
128,9,2031097545,512,87,0.0007400082267896,0.0016228650962343,4.1323156902203406e-07,1.853864342175367e-07,0.2139570095823441,0.2457429528309778,39.9729886230182,0.086827699909918,1,35.91534354790258,67.99130829811718,67.99134200255617,100.06729607944168,117.84177767144024,117.8417901033487,149.91773253061805,149.91776032332555,186.7589782030321,186.7590069770465
