method,size,trials,rank_or_dofs,time_s,rel_error,rel_error_min,rel_error_max
P2 FEM,n=16,1,4495,28.070008600014262,0.01744706553050462,0.01744706553050462,0.01744706553050462
P2 FEM,n=20,1,9139,50.85368139995262,0.009276068034917078,0.009276068034917078,0.009276068034917078
P2 FEM,n=24,1,16215,92.86191370000233,0.005339742618126723,0.005339742618126723,0.005339742618126723
P2 FEM,n=28,1,26235,145.40094899991527,0.0032940765058045536,0.0032940765058045536,0.0032940765058045536
P2 FEM,n=32,1,39711,282.55407710000145,0.002155391659477109,0.002155391659477109,0.002155391659477109
P2 FEM,n=36,1,57155,447.7469186999988,0.0014866528500163696,0.0014866528500163696,0.0014866528500163696
P2 FEM,n=40,1,79079,740.0277236000002,0.0010745350169303846,0.0010745350169303846,0.0010745350169303846
RFM,N=768,20,686.5,14.539916699985042,0.000949809261330679,0.0008096560358479893,0.0011262444636400007
RFM,N=1024,20,895.0,24.361664850031957,0.000708152096222382,0.0006587350084893957,0.0007906858306107907
RFM,N=1280,20,1080.0,30.25375985004939,0.0005743655984166668,0.0005212734804272977,0.0006385084929895353
DRM,selected state,3,--,2740.78362870001,0.0015921138308396098,9.812676059213642e-06,0.0021108333057421077
