variant,N,trial,seed,q,atom_prob,tail_prob,carrier_width,rank,lambda,time_s,rel_error
original,768,0,2028148200,3.4,0.1,0.25,0.8,527.0,700.521245275205,16.485569799959194,0.001517338870878344
original,768,1,2028148201,3.4,0.1,0.25,0.8,539.0,700.570500244964,16.548470299982,0.001587757443579585
original,768,2,2028148202,3.4,0.1,0.25,0.8,513.0,700.6377858699382,16.593656700046267,0.0016839539836886546
original,896,0,2028161000,3.4,0.1,0.25,0.8,567.0,700.3778344816263,17.606388800020795,0.001312308120820386
original,896,1,2028161001,3.4,0.1,0.25,0.8,577.0,700.366295567297,16.608896900026593,0.0012958112296118673
original,896,2,2028161002,3.4,0.1,0.25,0.8,575.0,700.409348661026,18.5137768999557,0.001357363138497476
original,1024,0,2028173800,3.4,0.1,0.25,0.8,599.0,700.337777061598,25.20951180002885,0.0012550390501399348
original,1024,1,2028173801,3.4,0.1,0.25,0.8,608.0,700.3251626637347,24.665134600014426,0.001237004567581767
original,1024,2,2028173802,3.4,0.1,0.25,0.8,587.0,700.4158832263688,24.76881229999708,0.0013667054397295132
narrow_carrier,768,0,2028248200,3.4,0.02,0.25,0.25,386.0,700.6973500997574,16.77560000005178,0.001769111442285073
narrow_carrier,768,1,2028248201,3.4,0.02,0.25,0.25,379.0,700.6936150855299,16.003472900018096,0.0017637715878053419
narrow_carrier,768,2,2028248202,3.4,0.02,0.25,0.25,379.0,700.7003752126348,15.336070400022436,0.0017734363689295668
narrow_carrier,896,0,2028261000,3.4,0.02,0.25,0.25,398.0,700.7083054024682,19.740586000028998,0.0017847739588632467
narrow_carrier,896,1,2028261001,3.4,0.02,0.25,0.25,398.0,700.6933707348758,19.581603400001768,0.001763422245913782
narrow_carrier,896,2,2028261002,3.4,0.02,0.25,0.25,397.0,700.7033487316176,19.687125000054948,0.0017776875331002762
narrow_carrier,1024,0,2028273800,3.4,0.02,0.25,0.25,407.0,700.6697059544722,23.888162499992177,0.001729589313572887
narrow_carrier,1024,1,2028273801,3.4,0.02,0.25,0.25,409.0,700.7183267358903,25.610251100035384,0.0017991012033950757
narrow_carrier,1024,2,2028273802,3.4,0.02,0.25,0.25,404.0,700.6972602475662,25.659159799979534,0.0017689829829014008
