variant,N,trial,seed,q,atom_prob,tail_prob,carrier_width,rank,lambda,time_s,rel_error
lean_original,1024,0,2030173800,3.4,0.02,0.25,0.8,625.0,700.309653496794,22.455099300015718,0.0012148315075821206
lean_original,1024,1,2030173801,3.4,0.02,0.25,0.8,642.0,700.3089120517104,23.08932879997883,0.0012137714824764852
lean_original,1024,2,2030173802,3.4,0.02,0.25,0.8,634.0,700.312829139819,23.15797489997931,0.0012193716433353578
carrier_rich,1024,0,2030273800,3.4,0.02,0.12,1.0,738.0,700.2700026570384,23.836952099984046,0.0011581437143369172
carrier_rich,1024,1,2030273801,3.4,0.02,0.12,1.0,743.0,700.2593137981569,23.014134199998807,0.0011428621256987757
carrier_rich,1024,2,2030273802,3.4,0.02,0.12,1.0,733.0,700.2787035085853,23.1223222000408,0.0011705830996459861
wide_carrier,1024,0,2030373800,3.4,0.02,0.25,1.5,761.0,700.2356614235048,24.050832899985835,0.001109046929544027
wide_carrier,1024,1,2030373801,3.4,0.02,0.25,1.5,740.0,700.2502064839757,22.974205799982883,0.0011298416311391884
wide_carrier,1024,2,2030373802,3.4,0.02,0.25,1.5,784.0,700.2739970212658,22.81712670001434,0.0011638543548899514
broad_carrier,1024,0,2030473800,3.4,0.02,0.25,2.5,795.0,700.2420621422272,23.404752899950836,0.0011181978736801693
broad_carrier,1024,1,2030473801,3.4,0.02,0.25,2.5,783.0,700.2622571852453,23.363962200004607,0.0011470702110693927
broad_carrier,1024,2,2030473802,3.4,0.02,0.25,2.5,800.0,700.2107463465039,23.635697000019718,0.001073426480080204
