carrier_family,variant,anchor_degree,N,trials,q,atom_prob,tail_prob,carrier_width,rel_error_median,rel_error_q90,rel_error_min,rel_error_max
harmonic4,carrier_width_2,0,1024,3,3.4,0.02,0.25,2.0,0.0011402414764189485,0.00114323729922053,0.0011319678073877827,0.0011439862549209253
harmonic4,broad_carrier,0,1024,3,3.4,0.02,0.25,2.5,0.0011502433405137797,0.0011565054862612677,0.0011208921994336595,0.0011580710226981397
harmonic4,carrier_width_3,0,1024,3,3.4,0.02,0.25,3.0,0.0011553399986059829,0.0011694857759769878,0.0011189223078131236,0.001173022220319739
harmonic5,carrier_width_2,0,1024,3,3.4,0.02,0.25,2.0,0.0007947387612877687,0.0008138794561830426,0.0007842086615202627,0.000818664629906861
harmonic5,broad_carrier,0,1024,3,3.4,0.02,0.25,2.5,0.0008215611978260896,0.0008284514118788486,0.0008010046989106707,0.0008301739653920384
harmonic5,carrier_width_3,0,1024,3,3.4,0.02,0.25,3.0,0.0008282107394202243,0.0008508799992128767,0.0008114469877804896,0.0008565473141610399
harmonic6,carrier_width_2,0,1024,3,3.4,0.02,0.25,2.0,0.0008500796496675615,0.0009429379661809858,0.0008130426457961976,0.0009661525453093419
harmonic6,broad_carrier,0,1024,3,3.4,0.02,0.25,2.5,0.0008752256879206633,0.000957951223969228,0.0008487990431631171,0.0009786326079813691
harmonic6,carrier_width_3,0,1024,3,3.4,0.02,0.25,3.0,0.0009116292188815131,0.0009986130241190973,0.0008964435369373852,0.0010203589754284933
harmonic7,carrier_width_2,0,1024,3,3.4,0.02,0.25,2.0,0.0009805272010345667,0.0011345884767744456,0.0009490121169812586,0.0011731037957094152
harmonic7,broad_carrier,0,1024,3,3.4,0.02,0.25,2.5,0.000994946781839781,0.001207213781503177,0.0009893556077909696,0.0012602805314190259
harmonic7,carrier_width_3,0,1024,3,3.4,0.02,0.25,3.0,0.0010653267071313163,0.001294021395429175,0.0010220236037378812,0.0013511950675036397
