carrier_family,variant,anchor_degree,N,trial,seed,q,atom_prob,tail_prob,carrier_width,anchors,rank,lambda,time_s,rel_error
harmonic4,carrier_width_2,0,1024,0,2027174200,3.4,0.02,0.25,2.0,0,795.0,700.2574807590015,24.192560499999672,0.0011402414764189485
harmonic4,carrier_width_2,0,1024,1,2027174201,3.4,0.02,0.25,2.0,0,799.0,700.2601000815012,25.68712349992711,0.0011439862549209253
harmonic4,carrier_width_2,0,1024,2,2027174202,3.4,0.02,0.25,2.0,0,789.0,700.2516936590605,26.521307299961336,0.0011319678073877827
harmonic4,broad_carrier,0,1024,0,2027174200,3.4,0.02,0.25,2.5,0,803.0,700.2644766621365,24.69207450002432,0.0011502433405137797
harmonic4,broad_carrier,0,1024,1,2027174201,3.4,0.02,0.25,2.5,0,800.0,700.26995181215,25.599777000024915,0.0011580710226981397
harmonic4,broad_carrier,0,1024,2,2027174202,3.4,0.02,0.25,2.5,0,798.0,700.2439467151235,26.329505300032906,0.0011208921994336595
harmonic4,carrier_width_3,0,1024,0,2027174200,3.4,0.02,0.25,3.0,0,805.0,700.280409575755,22.60697980003897,0.001173022220319739
harmonic4,carrier_width_3,0,1024,1,2027174201,3.4,0.02,0.25,3.0,0,801.0,700.2680415702364,23.063883100054227,0.0011553399986059829
harmonic4,carrier_width_3,0,1024,2,2027174202,3.4,0.02,0.25,3.0,0,798.0,700.2425688548733,20.628056699992158,0.0011189223078131236
harmonic5,carrier_width_2,0,1024,0,2027174200,3.4,0.02,0.25,2.0,0,804.0,700.0084500720911,21.051320699974895,0.0007842086615202627
harmonic5,carrier_width_2,0,1024,1,2027174201,3.4,0.02,0.25,2.0,0,803.0,700.0158154549115,23.327894299989566,0.0007947387612877687
harmonic5,carrier_width_2,0,1024,2,2027174202,3.4,0.02,0.25,2.0,0,799.0,700.0325506412421,22.70382850000169,0.000818664629906861
harmonic5,broad_carrier,0,1024,0,2027174200,3.4,0.02,0.25,2.5,0,807.0,700.034576674429,23.223130099941045,0.0008215611978260896
harmonic5,broad_carrier,0,1024,1,2027174201,3.4,0.02,0.25,2.5,0,803.0,700.0201982271872,23.768633800093085,0.0008010046989106707
harmonic5,broad_carrier,0,1024,2,2027174202,3.4,0.02,0.25,2.5,0,800.0,700.0406009602066,21.997119599953294,0.0008301739653920384
harmonic5,carrier_width_3,0,1024,0,2027174200,3.4,0.02,0.25,3.0,0,808.0,700.0590480608255,21.396040099905804,0.0008565473141610399
harmonic5,carrier_width_3,0,1024,1,2027174201,3.4,0.02,0.25,3.0,0,803.0,700.0392277623106,22.630522300023586,0.0008282107394202243
harmonic5,carrier_width_3,0,1024,2,2027174202,3.4,0.02,0.25,3.0,0,800.0,700.0275021898034,24.874239100026898,0.0008114469877804896
harmonic6,carrier_width_2,0,1024,0,2027174200,3.4,0.02,0.25,2.0,0,809.0,700.0286182886434,27.391871699946932,0.0008130426457961976
harmonic6,carrier_width_2,0,1024,1,2027174201,3.4,0.02,0.25,2.0,0,804.0,700.0545241886875,25.81439249997493,0.0008500796496675615
harmonic6,carrier_width_2,0,1024,2,2027174202,3.4,0.02,0.25,2.0,0,801.0,700.1357125278623,24.639170999987982,0.0009661525453093419
harmonic6,broad_carrier,0,1024,0,2027174200,3.4,0.02,0.25,2.5,0,809.0,700.0721128347819,21.057659500045702,0.0008752256879206633
harmonic6,broad_carrier,0,1024,1,2027174201,3.4,0.02,0.25,2.5,0,804.0,700.0536284557547,24.158219999982975,0.0008487990431631171
harmonic6,broad_carrier,0,1024,2,2027174202,3.4,0.02,0.25,2.5,0,801.0,700.1444418315946,25.049778799992055,0.0009786326079813691
harmonic6,carrier_width_3,0,1024,0,2027174200,3.4,0.02,0.25,3.0,0,809.0,700.09757564591,24.536632300005294,0.0009116292188815131
harmonic6,carrier_width_3,0,1024,1,2027174201,3.4,0.02,0.25,3.0,0,804.0,700.0869538699177,24.226596899912693,0.0008964435369373852
harmonic6,carrier_width_3,0,1024,2,2027174202,3.4,0.02,0.25,3.0,0,802.0,700.1736277535456,24.7986279000761,0.0010203589754284933
harmonic7,carrier_width_2,0,1024,0,2027174200,3.4,0.02,0.25,2.0,0,810.0,700.1457670235143,24.63884929998312,0.0009805272010345667
harmonic7,carrier_width_2,0,1024,1,2027174201,3.4,0.02,0.25,2.0,0,805.0,700.123723485106,24.98472639999818,0.0009490121169812586
harmonic7,carrier_width_2,0,1024,2,2027174202,3.4,0.02,0.25,2.0,0,802.0,700.2804666344712,24.112580699962564,0.0011731037957094152
harmonic7,broad_carrier,0,1024,0,2027174200,3.4,0.02,0.25,2.5,0,810.0,700.1558529424594,24.473476900020614,0.000994946781839781
harmonic7,broad_carrier,0,1024,1,2027174201,3.4,0.02,0.25,2.5,0,805.0,700.1519421402644,24.886462099966593,0.0009893556077909696
harmonic7,broad_carrier,0,1024,2,2027174202,3.4,0.02,0.25,2.5,0,802.0,700.3414432677137,24.375835100072436,0.0012602805314190259
harmonic7,carrier_width_3,0,1024,0,2027174200,3.4,0.02,0.25,3.0,0,810.0,700.205080879904,24.570330699905753,0.0010653267071313163
harmonic7,carrier_width_3,0,1024,1,2027174201,3.4,0.02,0.25,3.0,0,805.0,700.1747920943423,24.802406099974178,0.0010220236037378812
harmonic7,carrier_width_3,0,1024,2,2027174202,3.4,0.02,0.25,3.0,0,802.0,700.4050343425356,28.528246400062926,0.0013511950675036397
