carrier_family,variant,anchor_degree,N,trials,q,atom_prob,tail_prob,carrier_width,rel_error_median,rel_error_q90,rel_error_min,rel_error_max
harmonic2,broad_carrier,0,768,2,3.4,0.02,0.25,2.5,0.008239489197195096,0.008398442609018491,0.008040797432415852,0.008438180961974339
harmonic2,very_broad_carrier,0,768,2,3.4,0.02,0.25,4.0,0.008571735713848675,0.008620940165559528,0.00851023014921011,0.008633241278487242
harmonic2,ultra_broad_carrier,0,768,2,3.4,0.02,0.25,6.0,0.008006730475652677,0.008294378348188672,0.007647170634982684,0.008366290316322671
harmonic2,tail_broad_carrier,0,768,2,3.4,0.02,0.4,4.0,0.008546674832730191,0.00860977271161211,0.008467802484127795,0.008625547181332589
harmonic4,broad_carrier,0,768,2,3.4,0.02,0.25,2.5,0.0013438018695661343,0.001346273658125469,0.0013407121338669657,0.0013468916052653027
harmonic4,very_broad_carrier,0,768,2,3.4,0.02,0.25,4.0,0.0015399826852442913,0.001559675710113697,0.0015153664041575342,0.0015645989663310483
harmonic4,ultra_broad_carrier,0,768,2,3.4,0.02,0.25,6.0,0.0016153630426715465,0.0016368279264403647,0.0015885319379605237,0.0016421941473825693
harmonic4,tail_broad_carrier,0,768,2,3.4,0.02,0.4,4.0,0.0017019993069365188,0.0017455127178661826,0.001647607543274439,0.0017563910705985985
harmonic4_high,broad_carrier,0,768,2,3.4,0.02,0.25,2.5,0.002518190469263093,0.0027768435481932024,0.002194874120600456,0.00284150681792573
harmonic4_high,very_broad_carrier,0,768,2,3.4,0.02,0.25,4.0,0.002961550107754775,0.0034220447956700402,0.002385931747860693,0.0035371684676488565
harmonic4_high,ultra_broad_carrier,0,768,2,3.4,0.02,0.25,6.0,0.004929277101012477,0.005568122679709159,0.004130720127641625,0.005727834074383329
harmonic4_high,tail_broad_carrier,0,768,2,3.4,0.02,0.4,4.0,0.004031991483466268,0.0041785896842397524,0.003848743732499413,0.004215239234433124
harmonic4_cross,broad_carrier,0,768,2,3.4,0.02,0.25,2.5,0.0012534626302686974,0.0012641081611116523,0.001240155716715004,0.001266769543822391
harmonic4_cross,very_broad_carrier,0,768,2,3.4,0.02,0.25,4.0,0.0012924254134626708,0.0013834997402202443,0.001178582505015704,0.0014062683219096376
harmonic4_cross,ultra_broad_carrier,0,768,2,3.4,0.02,0.25,6.0,0.0013563448627636346,0.0014060235578425109,0.001294246493915039,0.00141844323161223
harmonic4_cross,tail_broad_carrier,0,768,2,3.4,0.02,0.4,4.0,0.001545888259064018,0.0017180096247852326,0.0013307365519124998,0.0017610399662155362
harmonic6,broad_carrier,0,768,2,3.4,0.02,0.25,2.5,0.0011720767168565847,0.001232223092953022,0.0010968937467360385,0.0012472596869771311
harmonic6,very_broad_carrier,0,768,2,3.4,0.02,0.25,4.0,0.0016871645624293753,0.0017155112813966706,0.0016517311637202561,0.0017225979611384945
harmonic6,ultra_broad_carrier,0,768,2,3.4,0.02,0.25,6.0,0.001982091021056887,0.002094048050134831,0.0018421447347094569,0.002122037307404317
harmonic6,tail_broad_carrier,0,768,2,3.4,0.02,0.4,4.0,0.0019491042287740274,0.0021146880929714144,0.0017421243985272935,0.0021560840590207613
harmonic8,broad_carrier,0,768,2,3.4,0.02,0.25,2.5,0.0017786745552759585,0.001815434580762494,0.001732724523417789,0.0018246245871341277
harmonic8,very_broad_carrier,0,768,2,3.4,0.02,0.25,4.0,0.002017521552892348,0.0023278335734528647,0.0016296315271917031,0.0024054115785929935
harmonic8,ultra_broad_carrier,0,768,2,3.4,0.02,0.25,6.0,0.0033261000653496764,0.004114776242013633,0.002340254844519731,0.004311945286179622
harmonic8,tail_broad_carrier,0,768,2,3.4,0.02,0.4,4.0,0.004141177913052759,0.0050537996735808,0.0030004007123927063,0.0052819551137128105
