carrier_family,variant,anchor_degree,N,trial,seed,q,atom_prob,tail_prob,carrier_width,anchors,rank,lambda,time_s,rel_error
harmonic2,broad_carrier,0,768,0,2027148200,3.4,0.02,0.25,2.5,0,579.0,705.0841431279587,13.399479400017299,0.008040797432415852
harmonic2,broad_carrier,0,768,1,2027148201,3.4,0.02,0.25,2.5,0,592.0,705.3620969827487,12.770502800005488,0.008438180961974339
harmonic2,very_broad_carrier,0,768,0,2027248200,3.4,0.02,0.25,4.0,0,619.0,705.4124925020318,12.987567399977706,0.00851023014921011
harmonic2,very_broad_carrier,0,768,1,2027248201,3.4,0.02,0.25,4.0,0,593.0,705.4985338576024,13.02849229995627,0.008633241278487242
harmonic2,ultra_broad_carrier,0,768,0,2027348200,3.4,0.02,0.25,6.0,0,589.0,705.3118123569504,13.278898300020956,0.008366290316322671
harmonic2,ultra_broad_carrier,0,768,1,2027348201,3.4,0.02,0.25,6.0,0,611.0,704.8088169567488,13.07103420002386,0.007647170634982684
harmonic2,tail_broad_carrier,0,768,0,2027448200,3.4,0.02,0.4,4.0,0,492.0,705.4931521449641,12.691637999960221,0.008625547181332589
harmonic2,tail_broad_carrier,0,768,1,2027448201,3.4,0.02,0.4,4.0,0,525.0,705.3828160504877,12.932644400047138,0.008467802484127795
harmonic4,broad_carrier,0,768,0,2037148200,3.4,0.02,0.25,2.5,0,607.0,700.3977019505337,12.989252100000158,0.0013407121338669657
harmonic4,broad_carrier,0,768,1,2037148201,3.4,0.02,0.25,2.5,0,600.0,700.4020242431502,13.161226299940608,0.0013468916052653027
harmonic4,very_broad_carrier,0,768,0,2037248200,3.4,0.02,0.25,4.0,0,596.0,700.5543018181459,12.895068699959666,0.0015645989663310483
harmonic4,very_broad_carrier,0,768,1,2037248201,3.4,0.02,0.25,4.0,0,609.0,700.5198656137754,13.166458999970928,0.0015153664041575342
harmonic4,ultra_broad_carrier,0,768,0,2037348200,3.4,0.02,0.25,6.0,0,617.0,700.5710419727476,13.16430709999986,0.0015885319379605237
harmonic4,ultra_broad_carrier,0,768,1,2037348201,3.4,0.02,0.25,6.0,0,614.0,700.6085765378615,12.81597320002038,0.0016421941473825693
harmonic4,tail_broad_carrier,0,768,0,2037448200,3.4,0.02,0.4,4.0,0,504.0,700.6123629913598,13.35467640007846,0.001647607543274439
harmonic4,tail_broad_carrier,0,768,1,2037448201,3.4,0.02,0.4,4.0,0,509.0,700.6884527094993,12.743705100030638,0.0017563910705985985
harmonic4_high,broad_carrier,0,768,0,2047148200,3.4,0.02,0.25,2.5,0,618.0,700.9951540318805,13.071827899897471,0.002194874120600456
harmonic4_high,broad_carrier,0,768,1,2047148201,3.4,0.02,0.25,2.5,0,608.0,701.4474476914957,13.19358960003592,0.00284150681792573
harmonic4_high,very_broad_carrier,0,768,0,2047248200,3.4,0.02,0.25,4.0,0,593.0,701.9340351386023,12.848441099980846,0.0035371684676488565
harmonic4_high,very_broad_carrier,0,768,1,2047248201,3.4,0.02,0.25,4.0,0,619.0,701.1287911859996,13.093057800084352,0.002385931747860693
harmonic4_high,ultra_broad_carrier,0,768,0,2047348200,3.4,0.02,0.25,6.0,0,612.0,702.3492007396912,12.885716299992055,0.004130720127641625
harmonic4_high,ultra_broad_carrier,0,768,1,2047348201,3.4,0.02,0.25,6.0,0,602.0,703.46631794515,12.82494510000106,0.005727834074383329
harmonic4_high,tail_broad_carrier,0,768,0,2047448200,3.4,0.02,0.4,4.0,0,491.0,702.1519695507775,13.198861600016244,0.003848743732499413
harmonic4_high,tail_broad_carrier,0,768,1,2047448201,3.4,0.02,0.4,4.0,0,509.0,702.4083184680032,12.714969099964947,0.004215239234433124
harmonic4_cross,broad_carrier,0,768,0,2057148200,3.4,0.02,0.25,2.5,0,608.0,700.327366766279,13.00982809998095,0.001240155716715004
harmonic4_cross,broad_carrier,0,768,1,2057148201,3.4,0.02,0.25,2.5,0,621.0,700.3459820718591,13.751461900072172,0.001266769543822391
harmonic4_cross,very_broad_carrier,0,768,0,2057248200,3.4,0.02,0.25,4.0,0,619.0,700.2842987720855,12.844826900050975,0.001178582505015704
harmonic4_cross,very_broad_carrier,0,768,1,2057248201,3.4,0.02,0.25,4.0,0,584.0,700.4435558770717,13.095837000058964,0.0014062683219096376
harmonic4_cross,ultra_broad_carrier,0,768,0,2057348200,3.4,0.02,0.25,6.0,0,614.0,700.3652010973799,12.91963899997063,0.001294246493915039
harmonic4_cross,ultra_broad_carrier,0,768,1,2057348201,3.4,0.02,0.25,6.0,0,628.0,700.4520717385301,12.979029700043611,0.00141844323161223
harmonic4_cross,tail_broad_carrier,0,768,0,2057448200,3.4,0.02,0.4,4.0,0,513.0,700.3907244307027,13.055229799938388,0.0013307365519124998
harmonic4_cross,tail_broad_carrier,0,768,1,2057448201,3.4,0.02,0.4,4.0,0,524.0,700.6917044256907,13.176421799929813,0.0017610399662155362
harmonic6,broad_carrier,0,768,0,2067148200,3.4,0.02,0.25,2.5,0,620.0,700.2271607591385,13.022374200052582,0.0010968937467360385
harmonic6,broad_carrier,0,768,1,2067148201,3.4,0.02,0.25,2.5,0,604.0,700.3323357088038,13.003987599979155,0.0012472596869771311
harmonic6,very_broad_carrier,0,768,0,2067248200,3.4,0.02,0.25,4.0,0,588.0,700.664815783605,12.99173589993734,0.0017225979611384945
harmonic6,very_broad_carrier,0,768,1,2067248201,3.4,0.02,0.25,4.0,0,604.0,700.615247298618,13.108845499926247,0.0016517311637202561
harmonic6,ultra_broad_carrier,0,768,0,2067348200,3.4,0.02,0.25,6.0,0,588.0,700.7484339611844,13.14109690010082,0.0018421447347094569
harmonic6,ultra_broad_carrier,0,768,1,2067348201,3.4,0.02,0.25,6.0,0,630.0,700.9442075998002,12.990365399979055,0.002122037307404317
harmonic6,tail_broad_carrier,0,768,0,2067448200,3.4,0.02,0.4,4.0,0,507.0,700.6784737440861,12.955790599924512,0.0017421243985272935
harmonic6,tail_broad_carrier,0,768,1,2067448201,3.4,0.02,0.4,4.0,0,481.0,700.9680219382187,16.498460400034674,0.0021560840590207613
harmonic8,broad_carrier,0,768,0,2077148200,3.4,0.02,0.25,2.5,0,603.0,700.6718989081231,18.367947500082664,0.001732724523417789
harmonic8,broad_carrier,0,768,1,2077148201,3.4,0.02,0.25,2.5,0,622.0,700.7361793200309,18.013754099956714,0.0018246245871341277
harmonic8,very_broad_carrier,0,768,0,2077248200,3.4,0.02,0.25,4.0,0,640.0,701.1424165469921,15.94717570010107,0.0024054115785929935
harmonic8,very_broad_carrier,0,768,1,2077248201,3.4,0.02,0.25,4.0,0,601.0,700.5997894884531,17.56115119997412,0.0016296315271917031
harmonic8,ultra_broad_carrier,0,768,0,2077348200,3.4,0.02,0.25,6.0,0,621.0,701.0968420224985,16.473023499944247,0.002340254844519731
harmonic8,ultra_broad_carrier,0,768,1,2077348201,3.4,0.02,0.25,6.0,0,631.0,702.4759604759504,16.924131999956444,0.004311945286179622
harmonic8,tail_broad_carrier,0,768,0,2077448200,3.4,0.02,0.4,4.0,0,509.0,703.1544434796284,14.879389200010337,0.0052819551137128105
harmonic8,tail_broad_carrier,0,768,1,2077448201,3.4,0.02,0.4,4.0,0,505.0,701.5585876034058,19.129570799996145,0.0030004007123927063
