carrier_family,variant,anchor_degree,N,trial,seed,q,atom_prob,tail_prob,carrier_width,anchors,rank,lambda,time_s,rel_error
harmonic5,h5_tail_015,0,768,0,2027148900,3.4,0.02,0.15,2.0,0,691.0,700.24412620698,15.189723300049081,0.001121148814358246
harmonic5,h5_tail_015,0,768,1,2027148901,3.4,0.02,0.15,2.0,0,679.0,700.0555228205812,17.165351400035433,0.0008515073681892249
harmonic5,h5_tail_015,0,768,2,2027148902,3.4,0.02,0.15,2.0,0,680.0,700.1726079464438,18.914584500016645,0.001018900983252483
harmonic5,h5_tail_015,0,768,3,2027148903,3.4,0.02,0.15,2.0,0,680.0,700.244091612614,16.301364799961448,0.0011210993556764906
harmonic5,h5_tail_015,0,768,4,2027148904,3.4,0.02,0.15,2.0,0,683.0,700.2137178117969,16.7464283000445,0.0010776747081429627
harmonic5,h5_tail_020,0,768,0,2027148900,3.4,0.02,0.2,2.0,0,656.0,700.1823939474208,16.19742199999746,0.0010328917789960295
harmonic5,h5_tail_020,0,768,1,2027148901,3.4,0.02,0.2,2.0,0,645.0,700.1751456378836,18.444618300069124,0.0010225290559123625
harmonic5,h5_tail_020,0,768,2,2027148902,3.4,0.02,0.2,2.0,0,639.0,700.2320939937033,16.708844699896872,0.0011039466662394052
harmonic5,h5_tail_020,0,768,3,2027148903,3.4,0.02,0.2,2.0,0,629.0,700.2103292204752,16.363664800068364,0.0010728301256468162
harmonic5,h5_tail_020,0,768,4,2027148904,3.4,0.02,0.2,2.0,0,643.0,700.1363724801238,15.95796909998171,0.0009670960622078443
