N,trial,seed,quadrature_order,rank,lambda
768,0,2026838800,40,680,700.127486944549
768,0,2026838800,44,680,700.1344827676407
768,0,2026838800,48,680,700.1376792858316
1024,10,2027094810,40,905,699.9486265302339
1024,10,2027094810,44,905,699.9638828738914
1024,10,2027094810,48,905,699.9682590212751
1280,0,2027350800,40,1055,699.8903475279269
1280,0,2027350800,44,1057,699.9065386427683
1280,0,2027350800,48,1059,699.9113625410032
1280,10,2027350810,40,1078,699.8580833301935
1280,10,2027350810,44,1077,699.8828936203026
1280,10,2027350810,48,1082,699.8850185181151
1280,19,2027350819,40,1078,699.8566105894665
1280,19,2027350819,44,1081,699.8749119890069
1280,19,2027350819,48,1084,699.8785567918378
