carrier_family,variant,anchor_degree,N,trial,seed,q,atom_prob,tail_prob,carrier_width,anchors,rank,lambda,time_s,rel_error
harmonic4,broad_carrier,0,768,0,2027148200,3.4,0.02,0.25,2.5,0,605.0,700.3449804893746,15.501034200075082,0.0012653376069164184
harmonic4,broad_carrier,0,768,1,2027148201,3.4,0.02,0.25,2.5,0,620.0,700.3942328194147,13.564139200025238,0.001335752405678944
harmonic4,broad_carrier,1,768,0,2027148200,3.4,0.02,0.25,2.5,7,605.0,700.4397503815147,13.011749199940823,0.0014008277020725653
harmonic4,broad_carrier,1,768,1,2027148201,3.4,0.02,0.25,2.5,7,612.0,700.4318430267591,13.446347399963997,0.0013895227588666792
harmonic4,broad_carrier,2,768,0,2027148200,3.4,0.02,0.25,2.5,25,598.0,700.4388746621273,13.027521100011654,0.0013995757084229925
harmonic4,broad_carrier,2,768,1,2027148201,3.4,0.02,0.25,2.5,25,614.0,700.4100476299574,12.84164909995161,0.0013583624365327955
operator_direct,broad_carrier,0,768,0,2037148200,3.4,0.02,0.25,2.5,0,502.0,719.3954501161764,13.001612999942154,0.028501307641457748
operator_direct,broad_carrier,0,768,1,2037148201,3.4,0.02,0.25,2.5,0,506.0,719.6316877169934,12.7062195999315,0.028839050507797896
operator_direct,broad_carrier,1,768,0,2037148200,3.4,0.02,0.25,2.5,7,499.0,719.9627010018658,12.89010129997041,0.029312291749847657
operator_direct,broad_carrier,1,768,1,2037148201,3.4,0.02,0.25,2.5,7,506.0,719.561415352556,12.993601799942553,0.028738583902534733
operator_direct,broad_carrier,2,768,0,2037148200,3.4,0.02,0.25,2.5,25,494.0,719.325587451071,13.20977010007482,0.028401426772869158
operator_direct,broad_carrier,2,768,1,2037148201,3.4,0.02,0.25,2.5,25,511.0,719.210407903249,12.921992699964903,0.028236757514077865
operator_mixed,broad_carrier,0,768,0,2047148200,3.4,0.02,0.25,2.5,0,591.0,705.9907865782675,12.954019299941137,0.00933700242517275
operator_mixed,broad_carrier,0,768,1,2047148201,3.4,0.02,0.25,2.5,0,575.0,705.8321951513103,13.201418900047429,0.009110268311160998
operator_mixed,broad_carrier,1,768,0,2047148200,3.4,0.02,0.25,2.5,7,589.0,705.9355102398715,12.98210719996132,0.009257975255466984
operator_mixed,broad_carrier,1,768,1,2047148201,3.4,0.02,0.25,2.5,7,576.0,705.8553057418408,13.325937099987641,0.009143308932389693
operator_mixed,broad_carrier,2,768,0,2047148200,3.4,0.02,0.25,2.5,25,588.0,705.801892022166,13.098112999927253,0.009066944701113869
operator_mixed,broad_carrier,2,768,1,2047148201,3.4,0.02,0.25,2.5,25,569.0,705.8075892282691,12.87890020001214,0.009075089851220016
