carrier_family,variant,anchor_degree,N,trial,seed,q,atom_prob,tail_prob,carrier_width,anchors,rank,lambda,time_s,rel_error
harmonic5,carrier_width_2,0,1024,0,2027174300,3.4,0.02,0.25,2.0,0,782.0,700.1019133251422,23.95152020000387,0.0009178306881314709
harmonic5,carrier_width_2,0,1024,1,2027174301,3.4,0.02,0.25,2.0,0,819.0,699.9629383298565,24.91630859998986,0.0007191416856395419
harmonic5,carrier_width_2,0,1024,2,2027174302,3.4,0.02,0.25,2.0,0,828.0,699.9752630331789,24.246674499940127,0.0007367619993089438
harmonic5,h5_tail_015,0,1024,0,2027174300,3.4,0.02,0.15,2.0,0,879.0,700.015489257833,24.992823000065982,0.0007942724056530131
harmonic5,h5_tail_015,0,1024,1,2027174301,3.4,0.02,0.15,2.0,0,900.0,699.9348542153577,24.889443399966694,0.0006789905441759535
harmonic5,h5_tail_015,0,1024,2,2027174302,3.4,0.02,0.15,2.0,0,902.0,699.9737002188459,23.981421199976467,0.0007345276835584448
harmonic5,h5_tail_020,0,1024,0,2027174300,3.4,0.02,0.2,2.0,0,842.0,699.95299916772,26.058653899934143,0.0007049319192967801
harmonic5,h5_tail_020,0,1024,1,2027174301,3.4,0.02,0.2,2.0,0,867.0,699.9492438329548,28.486609800020233,0.0006995630130630961
harmonic5,h5_tail_020,0,1024,2,2027174302,3.4,0.02,0.2,2.0,0,865.0,699.9836417411095,23.055025200010277,0.000748740824114742
harmonic5,h5_tail_030,0,1024,0,2027174300,3.4,0.02,0.3,2.0,0,729.0,700.0785995937688,22.981378600001335,0.0008844996416261748
harmonic5,h5_tail_030,0,1024,1,2027174301,3.4,0.02,0.3,2.0,0,772.0,699.9767149847644,22.361911199986935,0.0007388378174199717
harmonic5,h5_tail_030,0,1024,2,2027174302,3.4,0.02,0.3,2.0,0,801.0,700.0317323067572,23.34310070006177,0.0008174946779873459
harmonic5,h5_tail_035,0,1024,0,2027174300,3.4,0.02,0.35,2.0,0,673.0,700.1314152748964,24.483685299986973,0.0009600088724601757
harmonic5,h5_tail_035,0,1024,1,2027174301,3.4,0.02,0.35,2.0,0,724.0,700.0465642580228,25.134550599963404,0.0008386995400268152
harmonic5,h5_tail_035,0,1024,2,2027174302,3.4,0.02,0.35,2.0,0,746.0,700.0847514021474,24.456227499991655,0.000893294724998932
harmonic5,h5_q_30,0,1024,0,2027174300,3.0,0.02,0.25,2.0,0,788.0,700.0919515553908,29.56640580005478,0.000903588600258844
harmonic5,h5_q_30,0,1024,1,2027174301,3.0,0.02,0.25,2.0,0,825.0,699.9531734756534,24.64552709995769,0.0007051811228988336
harmonic5,h5_q_30,0,1024,2,2027174302,3.0,0.02,0.25,2.0,0,836.0,699.9980224207662,24.34281689999625,0.0007693005146567258
harmonic5,h5_q_38,0,1024,0,2027174300,3.8,0.02,0.25,2.0,0,778.0,700.1050504273492,23.81180360005237,0.0009223157230612716
harmonic5,h5_q_38,0,1024,1,2027174301,3.8,0.02,0.25,2.0,0,818.0,699.9647494322151,23.913135599927045,0.0007217309724411103
harmonic5,h5_q_38,0,1024,2,2027174302,3.8,0.02,0.25,2.0,0,824.0,699.9758744223617,25.531785300001502,0.0007376360868138391
