method,seed,step,seconds,lambda,lambda_eval_a,lambda_eval_b,rel_error,train_rayleigh,learning_rate,device
DRM,20260708,1,1.158109300000433,810.929931640625,811.1990356445312,810.6608276367188,0.15936581884593481,843.1549682617188,0.002,cuda
DRM,20260708,500,24.839270300000862,739.889892578125,739.85888671875,739.9208984375,0.05780168877132546,740.769775390625,0.002,cuda
DRM,20260708,1000,48.574177899999995,713.6465454101562,713.6942749023438,713.5988159179688,0.020282245362577552,715.8201293945312,0.002,cuda
DRM,20260708,1500,72.14850640000077,707.2857971191406,707.4368896484375,707.1347045898438,0.01118844593163696,710.6859130859375,0.002,cuda
DRM,20260708,2000,95.74757670000145,711.4339904785156,711.022216796875,711.8457641601562,0.01711901206710224,708.0939331054688,0.002,cuda
DRM,20260708,2500,122.23399710000012,710.8897094726562,711.1370239257812,710.6423950195312,0.016340867409445074,701.9544067382812,0.002,cuda
DRM,20260708,3000,146.2273150000001,709.1430358886719,709.1297607421875,709.1563110351562,0.013843692781970564,716.8263549804688,0.002,cuda
DRM,20260708,3500,169.8466666000004,704.1477661132812,703.9029541015625,704.392578125,0.006702083121829646,710.6909790039062,0.002,cuda
DRM,20260708,4000,193.54393440000058,710.5557861328125,710.7303466796875,710.3812255859375,0.015863465736101385,704.173828125,0.002,cuda
DRM,20260708,4500,217.21464670000023,710.6520690917969,710.0341186523438,711.27001953125,0.01600111902429361,703.2095336914062,0.002,cuda
DRM,20260708,5000,240.98126279999997,704.6676940917969,704.5354614257812,704.7999267578125,0.007445410878067669,711.1790771484375,0.002,cuda
DRM,20260708,5500,264.60395620000054,702.1204528808594,702.1805419921875,702.0603637695312,0.0038036851541916757,694.9362182617188,0.002,cuda
DRM,20260708,6000,288.2473991000006,702.2824401855469,702.3775024414062,702.1873779296875,0.004035274267891941,705.0670166015625,0.002,cuda
DRM,20260708,6500,311.95033780000085,702.4535522460938,702.6355590820312,702.2715454101562,0.004279908812073816,711.9324951171875,0.002,cuda
DRM,20260708,7000,335.65517490000093,704.8199157714844,704.8214111328125,704.8184204101562,0.007663038327038454,709.6447143554688,0.002,cuda
DRM,20260708,7500,359.4609655000004,705.6775512695312,705.0819702148438,706.2731323242188,0.00888917790170284,703.8567504882812,0.002,cuda
DRM,20260708,8000,383.41181140000117,701.1531982421875,700.8429565429688,701.4634399414062,0.002420825892938865,702.8472290039062,0.002,cuda
DRM,20260708,8500,406.95005480000145,702.3726196289062,702.381591796875,702.3636474609375,0.0041642015156282425,700.08544921875,0.002,cuda
DRM,20260708,9000,433.41259040000114,713.0978088378906,712.0166625976562,714.178955078125,0.01949773069538756,715.4234619140625,0.002,cuda
DRM,20260708,9500,459.59848280000006,701.4824829101562,701.2442626953125,701.720703125,0.0028915957755360515,712.4357299804688,0.002,cuda
DRM,20260708,10000,483.84398090000104,701.7346496582031,701.4334106445312,702.035888671875,0.003252112136972618,704.7381591796875,0.002,cuda
DRM,20260708,10500,507.7950613000012,703.3015747070312,702.759521484375,703.8436279296875,0.00549230487302012,702.6134643554688,0.002,cuda
DRM,20260708,11000,531.8481319000002,709.0811157226562,709.03564453125,709.1265869140625,0.013755167101545198,699.4115600585938,0.002,cuda
DRM,20260708,11500,555.8965109000001,700.1617126464844,699.9375,700.3859252929688,0.0010033242510760292,701.6561279296875,0.002,cuda
DRM,20260708,12000,579.9190103000001,700.8430786132812,700.75390625,700.9322509765625,0.0019774557773732846,701.616943359375,0.002,cuda
DRM,20260708,12500,603.8056376000004,702.7182006835938,702.6548461914062,702.7815551757812,0.0046582699262427505,703.769287109375,0.002,cuda
DRM,20260708,13000,627.8154843000011,701.3909912109375,700.9346313476562,701.8473510742188,0.0027607924291017266,700.8665771484375,0.002,cuda
DRM,20260708,13500,651.9007439000015,702.8335266113281,702.3231201171875,703.3439331054688,0.004823148460657465,703.8789672851562,0.002,cuda
DRM,20260708,14000,675.9894582000015,703.2301635742188,703.0274047851562,703.4329223632812,0.005390210199685791,697.8649291992188,0.002,cuda
DRM,20260708,14500,700.1616236000009,704.2484130859375,704.190185546875,704.306640625,0.00684597552894786,701.0799560546875,0.002,cuda
DRM,20260708,15000,724.3139489000005,700.5361328125,700.4677124023438,700.6045532226562,0.0015386232028447857,704.0397338867188,0.002,cuda
DRM,20260708,15500,750.5837861,711.557373046875,711.8305053710938,711.2842407226562,0.017295408974918776,702.4326782226562,0.002,cuda
DRM,20260708,16000,775.3823589000003,706.37841796875,706.6024169921875,706.1544189453125,0.00989118912725678,705.4015502929688,0.002,cuda
DRM,20260708,16500,799.5547841000007,699.9781188964844,699.7504272460938,700.205810546875,0.0007408449541617869,700.1800537109375,0.002,cuda
DRM,20260708,17000,823.7437548000016,701.1340026855469,700.9164428710938,701.3515625,0.0023933824957049787,700.8939208984375,0.002,cuda
DRM,20260708,17500,847.7466300000015,700.4430847167969,700.4609375,700.4252319335938,0.0014055947160941998,703.0460815429688,0.002,cuda
DRM,20260708,18000,872.7232038000002,706.3939514160156,706.6832275390625,706.1046752929688,0.009913396900217109,706.930419921875,0.002,cuda
DRM,20260708,18500,897.280157000001,700.066162109375,699.8009643554688,700.3313598632812,0.0008667180877385138,706.1140747070312,0.002,cuda
DRM,20260708,19000,921.5779519000007,701.2182006835938,700.791015625,701.6453857421875,0.0025137582237944726,700.419189453125,0.002,cuda
DRM,20260708,19500,945.7552103000016,706.0408630371094,706.149658203125,705.9320678710938,0.009408595459841813,709.0609741210938,0.002,cuda
DRM,20260708,20000,969.8635360000007,700.9073181152344,700.8570556640625,700.9575805664062,0.0020692973531719018,702.008056640625,0.002,cuda
