N,anchors,rank,lambda,time_s,trial,seed
768,0,680.0,700.1344827676407,14.5326550998725,0,2026838800
768,0,699.0,700.0262494906945,13.419000399764627,1,2026838801
768,0,691.0,700.0374689443723,16.377031200099736,2,2026838802
768,0,678.0,700.1439436504523,14.86878819996491,3,2026838803
768,0,686.0,700.126336908361,14.278713299892843,4,2026838804
768,0,689.0,700.0804391485141,14.51443130010739,5,2026838805
768,0,687.0,700.1296435239432,14.00889529986307,6,2026838806
768,0,684.0,700.2205059522136,14.990959600079805,7,2026838807
768,0,688.0,700.1007649540019,12.788647300098091,8,2026838808
768,0,686.0,700.1638485277151,13.354198399931192,9,2026838809
768,0,682.0,700.1222252029087,19.01585720013827,10,2026838810
768,0,681.0,700.1125023423899,14.814517499879003,11,2026838811
768,0,688.0,700.1781392207608,14.444123200140893,12,2026838812
768,0,686.0,700.2476904094574,14.547178300097585,13,2026838813
768,0,687.0,700.0876826821215,14.308323299977928,14,2026838814
768,0,715.0,700.1323727035476,14.750236299820244,15,2026838815
768,0,694.0,700.0464781451246,14.151586499996483,16,2026838816
768,0,680.0,700.1197839398346,16.32759610004723,17,2026838817
768,0,689.0,700.0748064223883,15.193160899914801,18,2026838818
768,0,679.0,700.1322624649669,15.550616899970919,19,2026838819
1024,0,875.0,699.9647667657256,26.84756899997592,0,2027094800
1024,0,896.0,699.9206862798342,18.98353930003941,1,2027094801
1024,0,917.0,699.9375168682478,24.448177400045097,2,2027094802
1024,0,869.0,699.9886460029538,21.61701999977231,3,2027094803
1024,0,894.0,699.9716723755477,24.981069500092417,4,2027094804
1024,0,886.0,699.9279462835029,24.03655550023541,5,2027094805
1024,0,899.0,699.9570300288804,25.029949000105262,6,2027094806
1024,0,896.0,699.9526953050432,24.498712399974465,7,2027094807
1024,0,899.0,699.9836869182548,25.6194318998605,8,2027094808
1024,0,890.0,699.9746515179941,24.42303830012679,9,2027094809
1024,0,905.0,699.9638828738914,20.224963599815965,10,2027094810
1024,0,889.0,699.9442272979895,24.975523499771953,11,2027094811
1024,0,904.0,699.926994228686,23.65478969970718,12,2027094812
1024,0,893.0,699.9487286628039,26.272514199838042,13,2027094813
1024,0,904.0,700.0129805923139,23.2415980999358,14,2027094814
1024,0,886.0,699.9763335091006,24.15798640018329,15,2027094815
1024,0,901.0,699.9256742964662,24.414422899950296,16,2027094816
1024,0,888.0,699.9534730759977,24.30890680011362,17,2027094817
1024,0,888.0,700.0015504722444,22.766352700069547,18,2027094818
1024,0,900.0,699.9485156579029,23.26556049985811,19,2027094819
1280,0,1057.0,699.9065386427683,30.148304699920118,0,2027350800
1280,0,1081.0,699.8602475828015,29.81067720009014,1,2027350801
1280,0,1064.0,699.8408167080706,30.97181020025164,2,2027350802
1280,0,1079.0,699.8882512997416,29.52254160027951,3,2027350803
1280,0,1086.0,699.8605216036144,32.68792790034786,4,2027350804
1280,0,1088.0,699.8333361055466,26.5371125000529,5,2027350805
1280,0,1071.0,699.858638184567,27.327366800047457,6,2027350806
1280,0,1051.0,699.8452540903509,30.37509399978444,7,2027350807
1280,0,1097.0,699.8387913630949,30.766001700423658,8,2027350808
1280,0,1084.0,699.862824913142,26.408820500131696,9,2027350809
1280,0,1077.0,699.8828936203026,26.734130899887532,10,2027350810
1280,0,1088.0,699.8717949895454,30.359215000178665,11,2027350811
1280,0,1078.0,699.8712920228086,26.928996100090444,12,2027350812
1280,0,1075.0,699.8687339388398,31.484022099990398,13,2027350813
1280,0,1099.0,699.8245374493765,31.010765300132334,14,2027350814
1280,0,1077.0,699.8740998065887,26.7656502998434,15,2027350815
1280,0,1060.0,699.8528265977159,34.788696200121194,16,2027350816
1280,0,1083.0,699.8653919505281,34.09665640024468,17,2027350817
1280,0,1096.0,699.8311227156016,35.728915800340474,18,2027350818
1280,0,1081.0,699.8749119890069,26.505315199960023,19,2027350819
