potential,law,N,rho_used,eigen_index,trials,lambda_mean,rel_error_mean,rel_error_min,rel_error_max,rank_median,total_s_mean
exp,blind-tail,128,2.0,1,5,145.95014206674216,0.006031245683074272,0.00571739134428561,0.0062736879810091645,106.0,2.8124974199570714
exp,blind-tail,128,2.0,2,5,176.46134501763277,0.0037425475903930957,0.0020101714297293596,0.006032324155360294,106.0,2.8124974199570714
exp,blind-tail,128,2.0,3,5,177.0231356357822,0.006938109463829822,0.006226174102406722,0.008012228347814102,106.0,2.8124974199570714
exp,blind-tail,256,2.0,1,5,145.71159864123274,0.004386970890899082,0.004080515461849963,0.004710366439838626,152.0,3.876246600039303
exp,blind-tail,256,2.0,2,5,175.6021471721362,0.0011447178571001838,9.818531045575318e-05,0.0020130585445268102,152.0,3.876246600039303
exp,blind-tail,256,2.0,3,5,176.1444757626388,0.001940140648357647,0.0013304535178587993,0.002720811674360972,152.0,3.876246600039303
exp,blind-tail,384,2.0,1,5,145.62926030855868,0.003819414503391988,0.003367476059502051,0.004405481033721838,172.0,4.165057600010186
exp,blind-tail,384,2.0,2,5,175.3331623620965,0.0026747498222618894,0.0014560601374302839,0.0034881978276928905,172.0,4.165057600010186
exp,blind-tail,384,2.0,3,5,175.82920001515595,0.0007306345968020762,0.00012881154775621858,0.0017175550224289458,172.0,4.165057600010186
exp,blind-tail,512,2.0,1,5,145.5662974595791,0.0033854129156326005,0.003045335107633319,0.003961369295371638,203.0,3.9928273000754415
exp,blind-tail,512,2.0,2,5,175.0927788069116,0.004042092919731635,0.0035584943348471467,0.00434540580131442,203.0,3.9928273000754415
exp,blind-tail,512,2.0,3,5,175.52176346723772,0.001601954226524311,0.0001772326671220948,0.002620240218735396,203.0,3.9928273000754415
square,blind-tail,128,2.0,1,5,151.25151826742012,0.0016541161843040783,0.0014268900891492681,0.00196139607030678,103.0,2.472122760210186
square,blind-tail,128,2.0,2,5,183.3708293995965,0.008114332205850644,0.005587114635752847,0.009695572423648898,103.0,2.472122760210186
square,blind-tail,128,2.0,3,5,183.73260306647964,0.010103248435295194,0.00880270292757191,0.010947718547780112,103.0,2.472122760210186
square,blind-tail,256,2.0,1,5,151.05446555985526,0.0003545421389210797,1.3489255874391705e-05,0.0006135946947223887,153.0,2.8577377400361
square,blind-tail,256,2.0,2,5,182.2885624111743,0.002164373502636778,0.0009854220099773407,0.0034387077383266204,153.0,2.8577377400361
square,blind-tail,256,2.0,3,5,182.76854957257623,0.004803189819651078,0.003708897067317191,0.005658912087520378,153.0,2.8577377400361
square,blind-tail,384,2.0,1,5,150.9411691843032,0.0004011520213909071,0.0002661868926591966,0.0005527867446241537,178.0,3.6060997202061116
square,blind-tail,384,2.0,2,5,181.99457773687706,0.001330288192420133,0.00039564207450764455,0.002293747365731569,178.0,3.6060997202061116
square,blind-tail,384,2.0,3,5,182.46560477599718,0.003137695955122603,0.0014963885659122832,0.004735041287476345,178.0,3.6060997202061116
square,blind-tail,512,2.0,1,5,150.88831864026332,0.0007511515822977686,0.00038983216019311756,0.0010612397807304348,200.0,5.103956799954176
square,blind-tail,512,2.0,2,5,181.7848797683818,0.000604713013168524,6.486573511396168e-05,0.0010721017864761075,200.0,5.103956799954176
square,blind-tail,512,2.0,3,5,182.11514173144184,0.0013253059811503198,0.0001957791211301099,0.0033996724387421397,200.0,5.103956799954176
