"problem","dim","potential","potential_scale","law","q","rho_used","N","rank","mass_cond_after_trunc","mass_truncation_tolerance","trial","seed","eigen_index","lambda_rfm","lambda_ref","rel_error","quad_order","assembly","integration_points","integration_scramble_seed","integration_backend","integration_dtype","integration_density","assembly_s","solve_s","total_s","omega_norm_max","boundary_factor","note"
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","95","99772.70444922114","1e-05","0","20988803","1","151.2817440260474","151.00174383907776","0.0018542844595756845","","qmc","200000","203508","torch","float64","beta22","2.6521630003117025","0.010689500253647566","2.66285250056535","8.064021988993956","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","95","99772.70444922114","1e-05","0","20988803","2","183.6584488897224","181.89487396569749","0.009695572423648898","","qmc","200000","203508","torch","float64","beta22","2.6521630003117025","0.010689500253647566","2.66285250056535","8.064021988993956","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","95","99772.70444922114","1e-05","0","20988803","3","183.76809269487313","181.89487396569749","0.010298359092455278","","qmc","200000","203508","torch","float64","beta22","2.6521630003117025","0.010689500253647566","2.66285250056535","8.064021988993956","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","103","87396.01433516548","1e-05","1","20988900","1","151.217206730806","151.00174383907776","0.0014268900891492681","","qmc","200000","203508","torch","float64","beta22","2.4245794001035392","0.010972699616104364","2.4355520997196436","7.260485317112851","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","103","87396.01433516548","1e-05","1","20988900","2","183.45926217190922","181.89487396569749","0.00860050738157003","","qmc","200000","203508","torch","float64","beta22","2.4245794001035392","0.010972699616104364","2.4355520997196436","7.260485317112851","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","103","87396.01433516548","1e-05","1","20988900","3","183.7015451954479","181.89487396569749","0.009932502166559772","","qmc","200000","203508","torch","float64","beta22","2.4245794001035392","0.010972699616104364","2.4355520997196436","7.260485317112851","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","107","99268.46316603759","1e-05","2","20988997","1","151.2979180660532","151.00174383907776","0.00196139607030678","","qmc","200000","203508","torch","float64","beta22","2.3158256001770496","0.010838900227099657","2.3266645004041493","11.72481640882652","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","107","99268.46316603759","1e-05","2","20988997","2","183.63626005552325","181.89487396569749","0.009573585290557253","","qmc","200000","203508","torch","float64","beta22","2.3158256001770496","0.010838900227099657","2.3266645004041493","11.72481640882652","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","107","99268.46316603759","1e-05","2","20988997","3","183.81112908565362","181.89487396569749","0.010534959442108903","","qmc","200000","203508","torch","float64","beta22","2.3158256001770496","0.010838900227099657","2.3266645004041493","11.72481640882652","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","101","87318.02914788258","1e-05","3","20989094","1","151.23549008275657","151.00174383907776","0.0015479704918369126","","qmc","200000","203508","torch","float64","beta22","2.469458400271833","0.01076840003952384","2.480226800311357","7.76780898801577","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","101","87318.02914788258","1e-05","3","20989094","2","183.18903440262793","181.89487396569749","0.007114881297724192","","qmc","200000","203508","torch","float64","beta22","2.469458400271833","0.01076840003952384","2.480226800311357","7.76780898801577","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","101","87318.02914788258","1e-05","3","20989094","3","183.88620785115788","181.89487396569749","0.010947718547780112","","qmc","200000","203508","torch","float64","beta22","2.469458400271833","0.01076840003952384","2.480226800311357","7.76780898801577","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","103","99698.65924019391","1e-05","4","20989191","1","151.22523243143743","151.00174383907776","0.001480039810651746","","qmc","200000","203508","torch","float64","beta22","2.4439636999741197","0.011354200076311827","2.4553179000504315","6.485183305991554","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","103","99698.65924019391","1e-05","4","20989191","2","182.91114147819965","181.89487396569749","0.005587114635752847","","qmc","200000","203508","torch","float64","beta22","2.4439636999741197","0.011354200076311827","2.4553179000504315","6.485183305991554","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","128","103","99698.65924019391","1e-05","4","20989191","3","183.49604050526565","181.89487396569749","0.00880270292757191","","qmc","200000","203508","torch","float64","beta22","2.4439636999741197","0.011354200076311827","2.4553179000504315","6.485183305991554","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","150","95919.0128409898","1e-05","0","21116803","1","151.09439770799125","151.00174383907776","0.0006135946947223887","","qmc","200000","203508","torch","float64","beta22","2.78358480008319","0.0606195000000298","2.84420430008322","8.38964724225535","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","150","95919.0128409898","1e-05","0","21116803","2","182.2558021668196","181.89487396569749","0.0019842681283595287","","qmc","200000","203508","torch","float64","beta22","2.78358480008319","0.0606195000000298","2.84420430008322","8.38964724225535","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","150","95919.0128409898","1e-05","0","21116803","3","182.69114235272778","181.89487396569749","0.0043776296146776465","","qmc","200000","203508","torch","float64","beta22","2.78358480008319","0.0606195000000298","2.84420430008322","8.38964724225535","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","144","95343.66500660032","1e-05","1","21116900","1","151.08390995970117","151.00174383907776","0.0005441402101354327","","qmc","200000","203508","torch","float64","beta22","2.8928608000278473","0.05029889987781644","2.9431596999056637","7.834292017065299","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","144","95343.66500660032","1e-05","1","21116900","2","182.52035727636527","181.89487396569749","0.0034387077383266204","","qmc","200000","203508","torch","float64","beta22","2.8928608000278473","0.05029889987781644","2.9431596999056637","7.834292017065299","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","144","95343.66500660032","1e-05","1","21116900","3","182.7798067975206","181.89487396569749","0.004865078451798437","","qmc","200000","203508","torch","float64","beta22","2.8928608000278473","0.05029889987781644","2.9431596999056637","7.834292017065299","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","153","99139.90033138102","1e-05","2","21116997","1","150.99970693791764","151.00174383907776","1.3489255874391705e-05","","qmc","200000","203508","torch","float64","beta22","2.8158285999670625","0.05050170002505183","2.8663302999921143","7.826979895701661","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","153","99139.90033138102","1e-05","2","21116997","2","182.07411717800534","181.89487396569749","0.0009854220099773407","","qmc","200000","203508","torch","float64","beta22","2.8158285999670625","0.05050170002505183","2.8663302999921143","7.826979895701661","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","153","99139.90033138102","1e-05","2","21116997","3","182.92420106663997","181.89487396569749","0.005658912087520378","","qmc","200000","203508","torch","float64","beta22","2.8158285999670625","0.05050170002505183","2.8663302999921143","7.826979895701661","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","158","99249.35249398957","1e-05","3","21117094","1","151.04834524842622","151.00174383907776","0.00030861504088401523","","qmc","200000","203508","torch","float64","beta22","2.804208400193602","0.05259770015254617","2.856806100346148","7.4426412017344195","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","158","99249.35249398957","1e-05","3","21117094","2","182.27337312984784","181.89487396569749","0.002080867678666603","","qmc","200000","203508","torch","float64","beta22","2.804208400193602","0.05259770015254617","2.856806100346148","7.4426412017344195","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","158","99249.35249398957","1e-05","3","21117094","3","182.87809431568397","181.89487396569749","0.005405431876941742","","qmc","200000","203508","torch","float64","beta22","2.804208400193602","0.05259770015254617","2.856806100346148","7.4426412017344195","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","158","98511.9443603317","1e-05","4","21117191","1","151.04596794523988","151.00174383907776","0.00029287149298917004","","qmc","200000","203508","torch","float64","beta22","2.727065000217408","0.05112329963594675","2.7781882998533547","7.506652757357569","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","158","98511.9443603317","1e-05","4","21117191","2","182.31916230483344","181.89487396569749","0.002332601957853797","","qmc","200000","203508","torch","float64","beta22","2.727065000217408","0.05112329963594675","2.7781882998533547","7.506652757357569","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","256","158","98511.9443603317","1e-05","4","21117191","3","182.5695033303089","181.89487396569749","0.003708897067317191","","qmc","200000","203508","torch","float64","beta22","2.727065000217408","0.05112329963594675","2.7781882998533547","7.506652757357569","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","196","99650.67179591478","1e-05","0","21244803","1","150.9182720766684","151.00174383907776","0.0005527867446241537","","qmc","200000","203508","torch","float64","beta22","3.4464000002481043","0.12154150009155273","3.567941500339657","10.143528962825048","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","196","99650.67179591478","1e-05","0","21244803","2","181.6111671511787","181.89487396569749","0.0015597295752945882","","qmc","200000","203508","torch","float64","beta22","3.4464000002481043","0.12154150009155273","3.567941500339657","10.143528962825048","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","196","99650.67179591478","1e-05","0","21244803","3","182.1670593752978","181.89487396569749","0.0014963885659122832","","qmc","200000","203508","torch","float64","beta22","3.4464000002481043","0.12154150009155273","3.567941500339657","10.143528962825048","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","187","99652.94558865724","1e-05","1","21244900","1","150.9500136829146","151.00174383907776","0.00034257985933121743","","qmc","200000","203508","torch","float64","beta22","3.4336843001656234","0.10917240008711815","3.5428567002527416","10.543443384147416","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
