potential,law,N,rho_used,eigen_index,trials,lambda_mean,rel_error_mean,rel_error_min,rel_error_max,rank_median,total_s_mean
exp,blind-tail,128,2.0,1,5,143.87669057763952,0.008261011624160408,0.007950391703237625,0.008817767734545682,106.0,0.14939026003703476
exp,blind-tail,128,2.0,2,5,170.5643250667866,0.02980071837565871,0.026413278320073553,0.03240074277266292,106.0,0.14939026003703476
exp,blind-tail,128,2.0,3,5,175.2697170369871,0.003035637767730251,0.0015326991974608391,0.004437723922823617,106.0,0.14939026003703476
exp,blind-tail,256,2.0,1,5,143.59129121570243,0.010228263396176109,0.009400949117984664,0.010728814195908343,151.0,0.4882619000039995
exp,blind-tail,256,2.0,2,5,169.0886557480486,0.03819457982584233,0.03615166501919962,0.039239011022458185,151.0,0.4882619000039995
exp,blind-tail,256,2.0,3,5,173.16349052066585,0.015016217248655605,0.014099686132198202,0.016476640608873383,151.0,0.4882619000039995
exp,blind-tail,384,2.0,1,5,143.46452343255044,0.011102071047137816,0.010651273372182586,0.01136903419169865,172.0,1.0840159198269248
exp,blind-tail,384,2.0,2,5,168.55197568651585,0.04124730852486718,0.03857543857176169,0.04401423771096864,172.0,1.0840159198269248
exp,blind-tail,384,2.0,3,5,172.80264113649034,0.01706879074645213,0.013390955301091809,0.020107087939820936,172.0,1.0840159198269248
exp,blind-tail,512,2.0,1,5,143.35641938209076,0.011847229982972239,0.011357535864281546,0.012132335682883395,203.0,1.9390487601049244
exp,blind-tail,512,2.0,2,5,167.33844424987763,0.04815008451623566,0.045888049272801386,0.050597636292586234,203.0,1.9390487601049244
exp,blind-tail,512,2.0,3,5,172.24643350471143,0.02023259563105851,0.019220956380011606,0.02244228564059661,203.0,1.9390487601049244
square,blind-tail,128,2.0,1,5,150.40765142298616,0.003934341425385855,0.002847919976428241,0.005387091428222489,102.0,0.2614055401645601
square,blind-tail,128,2.0,2,5,179.93041040366126,0.010799994080133777,0.009391528193252419,0.013196122695830807,102.0,0.2614055401645601
square,blind-tail,128,2.0,3,5,181.22044355995428,0.003707803254919785,0.0020209092383549937,0.006103499118526365,102.0,0.2614055401645601
square,blind-tail,256,2.0,1,5,150.092147107631,0.0060237498476580775,0.005440510400577233,0.00690583970844787,153.0,0.4836763799190521
square,blind-tail,256,2.0,2,5,178.19395571805745,0.02034646808319599,0.018736332717417748,0.021578603651701795,153.0,0.4836763799190521
square,blind-tail,256,2.0,3,5,179.56536139498095,0.01280691709407836,0.010573820353618963,0.015125301220841504,153.0,0.4836763799190521
square,blind-tail,384,2.0,1,5,149.90527902951695,0.007261272497152843,0.007046157749635598,0.007538761994240381,178.0,1.0764100800268352
square,blind-tail,384,2.0,2,5,177.46623311395174,0.024347254846669972,0.02216667076385628,0.02531928414598446,178.0,1.0764100800268352
square,blind-tail,384,2.0,3,5,179.00631028442473,0.015880401785360404,0.01424125957490889,0.017740504852436435,178.0,1.0764100800268352
square,blind-tail,512,2.0,1,5,149.7954113111502,0.007988864878362941,0.006984501293481122,0.008606766391524245,199.0,1.7628488200716674
square,blind-tail,512,2.0,2,5,176.9992450559361,0.026914606239451494,0.02314096119732521,0.03106491585363026,199.0,1.7628488200716674
square,blind-tail,512,2.0,3,5,178.56523387641192,0.01830529919118826,0.01573741688334699,0.019758458922673028,199.0,1.7628488200716674
