problem,dim,potential,potential_scale,law,q,rho_used,N,rank,mass_cond_after_trunc,mass_truncation_tolerance,trial,seed,eigen_index,lambda_rfm,lambda_ref,rel_error,quad_order,assembly,integration_points,integration_scramble_seed,integration_backend,integration_dtype,integration_density,assembly_s,solve_s,total_s,omega_norm_max,boundary_factor,note
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,94,96594.38697856128,1e-05,0,20988803,1,150.57170295632295,151.00174383907776,0.002847919976428241,,qmc,200000,203508,torch,float64,uniform,0.7056865999475121,0.011823300272226334,0.7175099002197385,8.064021988993956,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,94,96594.38697856128,1e-05,0,20988803,2,180.01342684506582,181.89487396569749,0.010343596164158392,,qmc,200000,203508,torch,float64,uniform,0.7056865999475121,0.011823300272226334,0.7175099002197385,8.064021988993956,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,94,96594.38697856128,1e-05,0,20988803,3,181.52122247704253,181.89487396569749,0.002054216705004133,,qmc,200000,203508,torch,float64,uniform,0.7056865999475121,0.011823300272226334,0.7175099002197385,8.064021988993956,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,103,86968.45836816382,1e-05,1,20988900,1,150.41072112794578,151.00174383907776,0.003914012488238783,,qmc,200000,203508,torch,float64,uniform,0.14193250006064773,0.009220500010997057,0.15115300007164478,7.260485317112851,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,103,86968.45836816382,1e-05,1,20988900,2,179.92883462547607,181.89487396569749,0.010808657205986894,,qmc,200000,203508,torch,float64,uniform,0.14193250006064773,0.009220500010997057,0.15115300007164478,7.260485317112851,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,103,86968.45836816382,1e-05,1,20988900,3,181.39900664619879,181.89487396569749,0.0027261203611060134,,qmc,200000,203508,torch,float64,uniform,0.14193250006064773,0.009220500010997057,0.15115300007164478,7.260485317112851,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,107,99157.35145516832,1e-05,2,20988997,1,150.47270887413472,151.00174383907776,0.0035035023536339307,,qmc,200000,203508,torch,float64,uniform,0.1374693000689149,0.009034099988639355,0.14650340005755424,11.72481640882652,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,107,99157.35145516832,1e-05,2,20988997,2,180.02862052802047,181.89487396569749,0.010260066141440373,,qmc,200000,203508,torch,float64,uniform,0.1374693000689149,0.009034099988639355,0.14650340005755424,11.72481640882652,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,107,99157.35145516832,1e-05,2,20988997,3,180.87002897925575,181.89487396569749,0.005634270851607423,,qmc,200000,203508,torch,float64,uniform,0.1374693000689149,0.009034099988639355,0.14650340005755424,11.72481640882652,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,101,87388.84173603728,1e-05,3,20989094,1,150.18828363919562,151.00174383907776,0.005387091428222489,,qmc,200000,203508,torch,float64,uniform,0.13516110042110085,0.00892150029540062,0.14408260071650147,7.76780898801577,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
