features,seed,retained_rank,lambda,energy,lambda_absolute_error,energy_absolute_error,pde_residual_rms,weak_residual,iterations,wall_seconds
128,20260723,127,16.650785349209748,5.853229709968009,0.020790236691514252,0.00264259645329723,0.02142311964151536,7.56371349189017e-15,31,0.3548888999503106
128,20260740,128,16.657559354014882,5.8545026996515706,0.02756424149664838,0.003915586136859162,0.027903988176852017,6.14190396736226e-15,40,0.40083439997397363
128,20260757,128,16.70477034475314,5.871183730233078,0.07477523223490579,0.020596616718366434,0.061110571267282955,6.793308445126943e-14,32,0.36176740005612373
128,20260774,128,16.66056188149005,5.85440443287952,0.030566768971816316,0.003817319364809002,0.024902216749170192,9.261090809816138e-15,21,0.3047515000216663
128,20260791,128,16.680822482077364,5.863232582522828,0.05082736955912992,0.012645469008116805,0.04522614528696568,5.525255086299776e-11,27,0.3284908998757601
256,20260723,234,16.630392132657327,5.850618684128275,0.00039702013909348466,3.157061356340307e-05,0.0029432611851193395,2.696054871023714e-11,21,0.7635047999210656
256,20260740,228,16.630380481144435,5.850629977981324,0.00038536862620119905,4.286446661261323e-05,0.0034393563823046404,7.988164284041084e-15,23,0.7405928000807762
256,20260757,242,16.630905404108073,5.850662682291977,0.0009102915898395736,7.556877726599964e-05,0.004525046239468429,6.5533929113143835e-15,23,0.7768949000164866
256,20260774,232,16.63056051964835,5.850626009625918,0.000565407130114437,3.889611120655445e-05,0.0032404025994101425,8.321569934341524e-12,80,1.438212800072506
256,20260791,234,16.630188028726085,5.850604597592207,0.00019291620785111263,1.7484077496021655e-05,0.0021891811920293864,2.538613264183561e-11,24,0.7790806998964399
384,20260723,299,16.63000310515206,5.850588333143916,7.992633825892881e-06,1.2196292047406132e-06,0.0006519015560442452,2.9517850136809964e-13,29,1.2879399999510497
384,20260740,302,16.6300096036791,5.85058864083682,1.4491160865048869e-05,1.5273221087852562e-06,0.0007384334868976701,5.8450468392872275e-15,27,1.3547064000740647
384,20260757,311,16.63000270369554,5.850588139106419,7.591177304533403e-06,1.0255917075596699e-06,0.0006073719341458223,7.29831170336488e-15,33,1.4560401001945138
384,20260774,300,16.630018482312693,5.850589736894737,2.3369794458716342e-05,2.623380025212896e-06,0.0009277489098824564,4.239155449205833e-13,53,1.939948400016874
384,20260791,292,16.63000491585292,5.850588286250611,9.80333468447725e-06,1.1727358995017312e-06,0.0006374391819004404,1.0182123090136834e-14,57,1.9386384999379516
512,20260723,346,16.629996018918256,5.850587547787982,9.064000217051671e-07,4.3427327067746546e-07,0.00040485498055159544,4.768618003725187e-13,37,2.2895690998993814
512,20260740,346,16.629996017316405,5.850587446179315,9.047981706089558e-07,3.326646034196301e-07,0.0003608895215040802,1.9055182647631224e-13,36,2.242656299844384
512,20260757,363,16.62999596334273,5.850587441180628,8.508244953020494e-07,3.27665916621811e-07,0.0003541692835121455,1.1795527065779907e-11,29,2.0358701997902244
512,20260774,348,16.630000649756997,5.850587831167346,5.537238763508867e-06,7.17652634207866e-07,0.0005225135897049375,1.425544319908707e-13,50,3.051438400056213
512,20260791,329,16.62999841233071,5.850587587452083,3.299812476598163e-06,4.7393737201417707e-07,0.0004250331890737519,8.140230569099735e-15,24,1.5813768999651074
768,20260723,415,16.629994747338703,5.850587242947414,3.651795310588568e-07,1.2943270277787633e-07,0.00023033958166886133,6.834309044921106e-15,29,3.3572845000308007
768,20260740,413,16.629995386846115,5.850587258199736,2.743278812999961e-07,1.4468502484987766e-07,0.0002441915195276949,3.768965347176691e-14,29,3.042579700006172
768,20260757,429,16.629994846180807,5.850587244414551,2.6633742677972805e-07,1.3089983941227956e-07,0.00023304197501100148,7.048055386547623e-15,33,5.865479399915785
768,20260774,407,16.62999554393294,5.850587311663871,4.314147048489758e-07,1.981491593028295e-07,0.00028258960367461396,2.628242667089132e-13,26,3.1328030999284238
768,20260791,392,16.629994935511032,5.850587275172874,1.7700720178481788e-07,1.6165816241198172e-07,0.0002524349914364606,4.0063765188708415e-10,220,14.67538379994221
