mesh_width,pair_index,initial_pair,grid,complex_unknowns,energy,mu1,mu2,energy_abs_error,mu1_abs_error,mu2_abs_error,virial_residual,wave_function_error_1,wave_function_error_2,fixed_point_residual,iterations,converged,published_alignment_pass,published_gap_energy,published_gap_mu1,published_gap_mu2,published_gap_virial,wall_seconds
0.5,0.0,gaussian__gaussian,64.0,8192,8.372702573064386,12.297657412360929,12.484472856514104,6.931245088992455e-07,3.4107179214259986e-06,3.587763153234391e-06,2.8138962932251765e-05,4.477089698986787e-05,8.06935089375495e-05,9.995006606574098e-12,9452,True,True,0.000121939425207,8.269673820035948e-05,9.38788678154986e-05,3.422177310984218e-05,46.05229480005801
0.5,6.0,gaussian__conjugate_rotation_mixed,64.0,8192,8.372702573064386,12.297657412345696,12.484472856498847,6.931245088992455e-07,3.4107026891661008e-06,3.5877478978818544e-06,2.8139037223332e-05,4.478660491462125e-05,8.068816515292795e-05,9.998510197260188e-12,24576,True,True,0.000121939425207,8.716236701825955e-05,9.81305198142638e-05,3.686201336259815e-05,142.06551739992574
0.5,12.0,vortex__conjugate_vortex,64.0,8192,8.372702573064387,12.297657412345693,12.48447285649885,6.931245071228886e-07,3.410702687389744e-06,3.5877478996582117e-06,2.813903722338751e-05,4.466931212455996e-05,8.06879789880816e-05,9.997345746889956e-12,29059,True,True,0.0001219368620694,8.716288779129954e-05,9.813002474533054e-05,3.686201533541609e-05,168.33306779991835
0.5,16.0,vortex__conjugate_rotation_mixed,64.0,8192,8.37270257306439,12.297657412345696,12.484472856498854,6.931245053465318e-07,3.4107026909424576e-06,3.587747903210925e-06,2.8139037223481184e-05,4.466879184961882e-05,8.068818871131781e-05,9.995638398689898e-12,45777,True,True,0.0001219342989319,8.716184624521957e-05,9.812903460746404e-05,3.686201866454636e-05,263.78579160012305
0.5,22.0,conjugate_vortex__conjugate_vortex,64.0,8192,8.372702573064387,12.297657412345693,12.484472856498854,6.931245071228886e-07,3.410702687389744e-06,3.587747903210925e-06,2.813903722686389e-05,4.467025781797338e-05,8.069174915458971e-05,9.999777206317904e-12,29419,True,True,0.0001219368620694,8.716288779129954e-05,9.812903460746404e-05,3.686213888313966e-05,144.56160979997367
0.5,26.0,conjugate_vortex__conjugate_rotation_mixed,64.0,8192,8.372702573064387,12.297657412345698,12.484472856498853,6.931245071228886e-07,3.4107026927188144e-06,3.587747901434568e-06,2.813903722691941e-05,4.4786274112977794e-05,8.06881652514826e-05,9.996178358731916e-12,27020,True,True,0.0001219368620694,8.716132547217958e-05,9.812952967639727e-05,3.68621408559576e-05,137.51969730015844
0.5,32.0,mixed__conjugate_vortex,64.0,8192,8.37270257306439,12.297657412345696,12.48447285649885,6.931245053465318e-07,3.4107026909424576e-06,3.5877478996582117e-06,2.813903722338751e-05,4.466930047050238e-05,8.068818950393507e-05,9.995113456859092e-12,29210,True,True,0.0001219342989319,8.716184624521957e-05,9.813002474533054e-05,3.686201533541609e-05,146.27457959996536
0.5,36.0,mixed__conjugate_rotation_mixed,64.0,8192,8.372702573064391,12.297657412345696,12.484472856498856,6.93124503570175e-07,3.4107026909424576e-06,3.587747904987282e-06,2.8139037226995733e-05,4.478631831173876e-05,8.068816524689397e-05,9.999297705929009e-12,31948,True,True,0.0001219317357943,8.716184624521957e-05,9.81285395385308e-05,3.686214356858227e-05,156.08198350016028
0.5,42.0,conjugate_mixed__conjugate_vortex,64.0,8192,8.372702573064386,12.297657412345693,12.484472856498847,6.931245088992455e-07,3.410702687389744e-06,3.5877478978818544e-06,2.81390372233771e-05,4.466931170597319e-05,8.068818951743733e-05,9.99711593272385e-12,29677,True,True,0.000121939425207,8.716288779129954e-05,9.81305198142638e-05,3.686201496551272e-05,149.63476699963212
0.5,46.0,conjugate_mixed__conjugate_rotation_mixed,64.0,8192,8.372702573064386,12.29765741234569,12.484472856498844,6.931245088992455e-07,3.4107026838370302e-06,3.5877478943291408e-06,2.813903722343955e-05,4.466794492462868e-05,8.068818748916181e-05,9.9996424438963e-12,23786,True,True,0.000121939425207,8.716392933737952e-05,9.813150995213029e-05,3.686201718493291e-05,119.82341499999166
0.5,52.0,rotation_mixed__conjugate_vortex,64.0,8192,8.372702573064386,12.29765741234569,12.484472856498847,6.931245088992455e-07,3.4107026838370302e-06,3.5877478978818544e-06,2.8139037221600743e-05,4.4669319405440826e-05,8.068818958173632e-05,9.99815925999574e-12,31490,True,True,0.000121939425207,8.716392933737952e-05,9.81305198142638e-05,3.686195183533861e-05,158.2407974000089
0.5,58.0,rotation_mixed__conjugate_counter_rotation_mixed,64.0,8192,8.372702573064386,12.297657412345693,12.48447285649885,6.931245088992455e-07,3.410702687389744e-06,3.5877478996582117e-06,2.8139037223335467e-05,4.478680515645364e-05,8.068816515376104e-05,9.9954818606375e-12,30341,True,True,0.000121939425207,8.716288779129954e-05,9.813002474533054e-05,3.686201348589927e-05,153.73251940030605
0.5,64.0,conjugate_rotation_mixed__conjugate_mixed,64.0,8192,8.37270257306439,12.297657412345696,12.484472856498853,6.931245053465318e-07,3.4107026891661008e-06,3.587747901434568e-06,2.8139037223345875e-05,4.478681649721008e-05,8.068816509166267e-05,9.996308695578966e-12,26864,True,True,0.0001219342989319,8.716236701825955e-05,9.812952967639727e-05,3.686201385580264e-05,137.8690442997031
0.5,69.0,conjugate_rotation_mixed__thomas_fermi,64.0,8192,8.372702573064384,12.29765741234569,12.484472856498847,6.931245106756023e-07,3.4107026838370302e-06,3.5877478961054976e-06,2.8139037220469704e-05,4.466864073944326e-05,8.068818850822904e-05,9.996831251456989e-12,21384,True,True,0.0001219419883445,8.716392933737952e-05,9.813101488319704e-05,3.686191163917305e-05,101.53803589986636
0.5,74.0,counter_rotation_mixed__conjugate_mixed,64.0,8192,8.372702573064384,12.29765741234569,12.484472856498844,6.931245106756023e-07,3.4107026838370302e-06,3.5877478943291408e-06,2.8139037224272218e-05,4.466802706181851e-05,8.06881876387339e-05,9.997383637480207e-12,26194,True,True,0.0001219419883445,8.716392933737952e-05,9.813150995213029e-05,3.6862046777202026e-05,141.45486709987745
0.5,79.0,counter_rotation_mixed__thomas_fermi,64.0,8192,8.37270257306439,12.297657412345696,12.484472856498854,6.931245053465318e-07,3.4107026909424576e-06,3.587747903210925e-06,2.8139037226995733e-05,4.4786302941342674e-05,8.068816524043684e-05,9.997030109165404e-12,38708,True,True,0.0001219342989319,8.716184624521957e-05,9.812903460746404e-05,3.686214356858227e-05,183.48394679976627
0.5,84.0,conjugate_counter_rotation_mixed__conjugate_mixed,64.0,8192,8.372702573064384,12.297657412345696,12.484472856498844,6.931245106756023e-07,3.4107026891661008e-06,3.587747892552784e-06,2.8139037219772345e-05,4.478674292693276e-05,8.068816511230229e-05,9.996211095281467e-12,26854,True,True,0.0001219419883445,8.716236701825955e-05,9.813200502106356e-05,3.686188685564767e-05,129.6557058999315
0.5,89.0,conjugate_counter_rotation_mixed__thomas_fermi,64.0,8192,8.37270257306439,12.297657412345693,12.484472856498853,6.931245053465318e-07,3.410702687389744e-06,3.587747901434568e-06,2.813903722697492e-05,4.46687275017342e-05,8.068818861495678e-05,9.997161624961014e-12,26637,True,True,0.0001219342989319,8.716288779129954e-05,9.812952967639727e-05,3.686214282877554e-05,136.15763449994847
0.5,94.0,thomas_fermi__conjugate_mixed,64.0,8192,8.372702573064386,12.297657412345696,12.484472856498847,6.931245088992455e-07,3.4107026891661008e-06,3.5877478978818544e-06,2.813903722331812e-05,4.478674599110688e-05,8.068816515999915e-05,9.99741364728843e-12,26913,True,True,0.000121939425207,8.716236701825955e-05,9.81305198142638e-05,3.686201286939366e-05,139.1089396001771
0.5,99.0,thomas_fermi__thomas_fermi,64.0,8192,8.372702573064384,12.29765741236092,12.484472856514088,6.931245106756023e-07,3.410717916096928e-06,3.58776313724718e-06,2.813896296215146e-05,4.477086192009663e-05,8.069350493498987e-05,9.990104574951239e-12,9695,True,True,0.0001219419883445,8.269830051947945e-05,9.388332343589786e-05,3.422283571890579e-05,53.6613519997336
1.0,0.0,gaussian__gaussian,32.0,2048,8.37208781407925,12.303063585997766,12.490164713960189,0.0006154521096437,0.0054095843547603,0.0056954452092359,0.029310296496404,0.0037443418294388,0.0071458314861249,9.990928164512702e-12,9542,True,True,0.0008327798545465,0.0017748805111768,0.0007990860989601,0.0003514162595255,27.831204599700868
