features,seed,retained_rank_per_component,complex_degrees_of_freedom,energy,mu1,mu2,energy_absolute_error,mu1_absolute_error,mu2_absolute_error,pde_residual_rms,weak_residual,iterations,wall_seconds
256,20260723,245,490,8.372926644769219,12.298383412611521,12.485225942663103,0.0002233785803227306,0.00072941095329071,0.0007566738968947107,0.0018962205242415262,2.718642537996089e-07,208,31.124092200072482
256,20260740,246,492,8.372847500389272,12.298138414214758,12.484973690492918,0.00014423420037523726,0.00048441255652775794,0.0005044217267098361,0.001588818561536948,8.411032438262058e-07,207,31.709262400167063
256,20260757,253,506,8.372885274587695,12.298200602878081,12.485037079758856,0.00018200839879867203,0.0005466012198507286,0.0005678109926474662,0.0017538878930042647,2.8840369431194685e-07,197,30.18008579988964
512,20260723,407,814,8.372719164421799,12.297692028604496,12.484508739257931,1.5898232902600284e-05,3.8026946265645734e-05,3.947049172303707e-05,0.0005932371312181918,2.8538353998460815e-07,208,54.10797640006058
512,20260740,406,812,8.37271436714472,12.297704798740707,12.484522331589984,1.1100955823906133e-05,5.07970824763504e-05,5.306282377581795e-05,0.0004957173406438954,2.8826939051071543e-07,204,53.872418200131506
512,20260757,413,826,8.372717191094708,12.29769315583952,12.48451002070876,1.3924905811535382e-05,3.915418128919157e-05,4.0751942551153775e-05,0.0005479779728074406,2.391706264355219e-07,209,55.51991060003638
768,20260723,528,1056,8.372706402197725,12.297664291584457,12.484480003795602,3.1360088286191967e-06,1.0289926226647594e-05,1.0735029393416085e-05,0.0002829079236696504,6.306661129551866e-07,202,75.1202343001496
768,20260740,527,1054,8.37270644987312,12.29766922950844,12.484485207482052,3.1836842229182594e-06,1.5227850209242888e-05,1.5938715844043827e-05,0.00028670681057703856,3.286488630953124e-07,217,78.24533710000105
768,20260757,533,1066,8.372706266981906,12.297667166408212,12.484483032242636,3.0007930096331847e-06,1.316474998169781e-05,1.3763476427897103e-05,0.000277422227751105,6.55377190896827e-07,196,71.09842509985901
1024,20260723,610,1220,8.372704424653314,12.297658816890168,12.484474304129387,1.1584644177276004e-06,4.815231937627118e-06,5.03536317886244e-06,0.00017905148857354233,3.351197726598491e-07,204,85.97663370007649
1024,20260740,615,1230,8.372704627843362,12.29765931890139,12.484474844714766,1.3616544656258611e-06,5.317243159552731e-06,5.575948557989818e-06,0.00019423612434484188,1.2425298420999586e-06,218,89.61510190018453
1024,20260757,622,1244,8.372704372463794,12.297656008851368,12.484471366218617,1.1062748974666192e-06,2.007193137032459e-06,2.0974524090888735e-06,0.00017362465063699195,9.456703801417314e-07,207,88.75993030006066
1280,20260723,686,1372,8.372703756601428,12.297655018877323,12.48447035447333,4.904125319171726e-07,1.0172190929580438e-06,1.085707122427948e-06,0.00011848700439276452,1.8138474470503298e-06,182,88.06459249998443
1280,20260740,697,1394,8.372703739296528,12.297655123595616,12.484470454565326,4.731076312936011e-07,1.1219373856619086e-06,1.1857991175645566e-06,0.00011549446825924334,4.522149498454092e-07,215,102.03188190003857
1280,20260757,689,1378,8.372703765553387,12.297655414975551,12.48447074753437,4.993644910911144e-07,1.413317320952956e-06,1.4787681621442061e-06,0.0001201645110693299,2.552730743612458e-07,236,110.44210530002601
1536,20260723,750,1500,8.372703588797046,12.297656115505593,12.484471493969297,3.2260814997187026e-07,2.113847362039678e-06,2.225203088457306e-06,0.00010025492482898348,1.4990395918651426e-06,216,113.29060629988089
1536,20260740,747,1494,8.372703592788124,12.29765569273518,12.484471031472395,3.2659922766242744e-07,1.691076949583703e-06,1.7627061872360628e-06,0.00010208543469855284,3.012988618197168e-07,241,120.53328080009669
1536,20260757,747,1494,8.372703623377204,12.297655827156252,12.484471181022197,3.571883073760773e-07,1.8254980211906968e-06,1.9122559891115998e-06,0.00010562524066884083,2.658058828976688e-07,221,114.15270159998909
