potential,N,seed,retained,device,largest_frequency,draw_s,assemble_s,eigensolve_s,method_s,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,trial,lambda_ref_1,rel_error_1,lambda_ref_2,rel_error_2,lambda_ref_3,rel_error_3,lambda_ref_4,rel_error_4,lambda_ref_5,rel_error_5,lambda_ref_6,rel_error_6,lambda_ref_7,rel_error_7,lambda_ref_8,rel_error_8,lambda_ref_9,rel_error_9,lambda_ref_10,rel_error_10,lambda_ref_11,rel_error_11,lambda_ref_12,rel_error_12,recorded_at
square,128,20988803,95,cpu,8.064021988993956,0.0003556000010576099,1.9173723999992944,0.005361699993954971,1.923089699994307,151.28174402604847,183.65844888972393,183.76809269487225,184.2724985991878,184.63816236903486,184.8876689782128,185.1684630237156,185.65571268366034,186.28905889974055,186.91269892214277,188.0688096890752,216.04513399993164,0,151.0017431728773,0.0018542888796363728,181.8948733883238,0.00969557562864962,181.8948733883238,0.010298362299356094,181.8948733883238,0.013071425085126317,181.8948733883238,0.015081727866263045,181.8948733883238,0.016453435625421606,181.8948733883238,0.01799715173062123,181.8948733883238,0.020675894956685287,181.8948733883238,0.024157830452074945,181.8948733883238,0.02758640439033442,181.8948733883238,0.033942332654812134,212.78800360377028,0.015306926805076932,1787841253.3967602
square,128,20988900,103,cpu,7.260485317112851,0.00027469999622553587,1.9933130999997957,0.004667400004109368,1.9982552000001306,151.21720673080645,183.45926217190774,183.7015451954472,184.28462629689105,184.3836207971263,184.98102295907356,185.0713571460056,185.26519788958703,185.6526235518821,187.15084826393806,188.14763038798415,215.6251551823774,1,151.0017431728773,0.0014268945073202062,181.8948733883238,0.008600510583078215,181.8948733883238,0.009932505372300372,181.8948733883238,0.013138099299068335,181.8948733883238,0.013682339487871833,181.8948733883238,0.016966666037701944,181.8948733883238,0.017463294586100814,181.8948733883238,0.018528969170384484,181.8948733883238,0.020658911895421957,181.8948733883238,0.02889567351573122,181.8948733883238,0.03437566371819328,212.78800360377028,0.013333230870900704,1787841255.405985
square,128,20988997,107,cpu,11.72481640882652,0.00024120000307448208,1.9442713000025833,0.004737899987958372,1.9492503999936162,151.2979180660539,183.63626005552229,183.81112908565058,183.91442242929537,184.6663849213622,184.81303915688966,185.16637886899542,185.44100417815773,186.07765953208965,187.33349863599787,187.78223845281494,215.8631857683144,2,151.0017431728773,0.0019614004908375844,181.8948733883238,0.00957358849515701,181.8948733883238,0.010534962649748864,181.8948733883238,0.011102836508536926,181.8948733883238,0.015236886457605516,181.8948733883238,0.016043144670360974,181.8948733883238,0.01798569371269394,181.8948733883238,0.019495496072961735,181.8948733883238,0.02299562415283755,181.8948733883238,0.029899827006466907,181.8948733883238,0.0323668553974159,212.78800360377028,0.014451858716012829,1787841257.367755
square,128,20989094,101,cpu,7.76780898801577,0.00024500000290572643,2.0182031000003917,0.004623599990736693,2.023071699994034,151.23549008275657,183.1890344026273,183.88620785115555,184.04797255092527,184.29589290555376,184.67470138308684,185.28518599759084,185.6573123628576,186.26730448466174,187.14170473581675,188.26277777492922,216.15871661412956,3,151.0017431728773,0.0015479749105390304,181.8948733883238,0.007114884494521367,181.8948733883238,0.010947721756734165,181.8948733883238,0.011837052482534069,181.8948733883238,0.0132000395201028,181.8948733883238,0.015282607711699786,181.8948733883238,0.018638857413145145,181.8948733883238,0.02068468948270714,181.8948733883238,0.024038231616365188,181.8948733883238,0.02884540531437409,181.8948733883238,0.03500870732629566,212.78800360377028,0.01584070978284961,1787841259.4026413
square,128,20989191,103,cpu,6.485183305991554,0.0002683999919099733,1.9933264999999665,0.004457900009583682,1.9980528000014601,151.22523243143817,182.91114147820215,183.49604050526287,183.7700792731069,183.82091860640955,184.58844125646618,184.83789654238348,185.1268307475554,185.4088791738702,186.8470277241621,187.75984269041356,215.9015228236301,4,151.0017431728773,0.001480044229059056,181.8948733883238,0.005587117827717747,181.8948733883238,0.00880270612971472,181.8948733883238,0.010309283872887166,181.8948733883238,0.010588782312593742,181.8948733883238,0.014808377047504522,181.8948733883238,0.016179802647745246,181.8948733883238,0.017768270754568067,181.8948733883238,0.019318883045397438,181.8948733883238,0.02722536508913068,181.8948733883238,0.03224373063867923,212.78800360377028,0.014632024207800114,1787841261.4119818
square,128,20989288,105,cpu,6.375828707859281,0.0002542000001994893,2.0298036000021966,0.004519499998423271,2.0345773000008194,151.23999413602797,183.38326038902235,183.8252986911994,184.00166636349445,184.16760122165292,184.27363510588359,184.93854962531952,185.41975929193518,186.36485916639737,187.09349023548393,188.64502135596675,216.70880877758606,5,151.0017431728773,0.0015778027335612286,181.8948733883238,0.008182677020924267,181.8948733883238,0.010612862621776,181.8948733883238,0.011582475833020934,181.8948733883238,0.012494732759604093,181.8948733883238,0.013077673236460193,181.8948733883238,0.016733161195246288,181.8948733883238,0.01937869846439367,181.8948733883238,0.024574556142276167,181.8948733883238,0.028580337369166608,181.8948733883238,0.03711016062136178,212.78800360377028,0.018425875084183124,1787841263.487583
square,128,20989385,101,cpu,10.629703816311196,0.00022959998750593513,2.0183069000049727,0.004458399998839013,2.0229948999913177,151.28758028580503,183.62514376393034,183.87196324801909,184.47443790792371,184.71539673689017,184.98149847889786,185.34031332472742,185.86480973810043,185.99518937827744,187.11784634010823,189.2131711153775,216.2974043361612,6,151.0017431728773,0.001892939160314799,181.8948733883238,0.009512474669435191,181.8948733883238,0.010869409471890102,181.8948733883238,0.014181622997657914,181.8948733883238,0.015506337787458708,181.8948733883238,0.0169692802940328,181.8948733883238,0.01894192987532985,181.8948733883238,0.02182544387219373,181.8948733883238,0.022542229550362166,181.8948733883238,0.028714239464209746,181.8948733883238,0.04023366679186177,212.78800360377028,0.01649247454252984,1787841265.5234933
square,128,20989482,100,cpu,6.718873224904472,0.00024310000299010426,1.9866627999872435,0.004673200004617684,1.9915790999948513,151.33439113742426,183.47475416765903,183.94109458491047,184.01316271152254,184.42640055410152,184.783120961952,185.25160431620233,185.56637519942856,185.77166771064375,187.18789376813137,188.54388464115377,215.83191131418977,7,151.0017431728773,0.002202941221454153,181.8948733883238,0.008685680634672888,181.8948733883238,0.011249471513241873,181.8948733883238,0.01164567908781276,181.8948733883238,0.013917528947466397,181.8948733883238,0.015878663976758394,181.8948733883238,0.018454236039474985,181.8948733883238,0.02018474596184225,181.8948733883238,0.021313378712128267,181.8948733883238,0.029099337882424105,181.8948733883238,0.036554143220051814,212.78800360377028,0.014304884010695967,1787841267.5268252
square,128,20989579,101,cpu,6.205884160430345,0.0004047000111313537,1.988710199992056,0.004686000000219792,1.9938009000034072,151.29570265916067,183.30413375652293,183.59424256546814,183.9533170109533,184.21799400088898,184.6877201647371,185.31370334577164,185.41648841627153,185.80935674509058,187.0264403865468,187.7367883287484,216.15955492650528,8,151.0017431728773,0.0019467290913776063,181.8948733883238,0.007747664032237675,181.8948733883238,0.009342589735975671,181.8948733883238,0.011316666513382046,181.8948733883238,0.012771776187477293,181.8948733883238,0.015354180820978497,181.8948733883238,0.018795636698067143,181.8948733883238,0.01936071623321411,181.8948733883238,0.021520581002906228,181.8948733883238,0.028211718684713703,181.8948733883238,0.03211698511124506,212.78800360377028,0.015844649442799993,1787841269.5317235
square,128,20989676,108,cpu,10.406751072892565,0.00023589999182149768,2.0041758000006666,0.0054718000028515235,2.0098834999953397,151.29621367573665,183.4748894727094,183.65422758485354,184.05297526055398,184.6880142163376,184.93479383802747,185.2383850514737,185.79082227444792,186.0255927174749,187.6806172283192,188.87910575303167,215.981751705526,9,151.0017431728773,0.0019501132680450205,181.8948733883238,0.008686424498685423,181.8948733883238,0.009672368240823069,181.8948733883238,0.011864555784499221,181.8948733883238,0.015355797422892633,181.8948733883238,0.016712513074592376,181.8948733883238,0.018381560738173826,181.8948733883238,0.02141868439473138,181.8948733883238,0.022709377412372223,181.8948733883238,0.03180817431640052,181.8948733883238,0.03839708197711201,212.78800360377028,0.01500906088532487,1787841271.5524724
