potential,mode,lambda_ref,lambda_final,relative_error,mass,domain_energy,boundary_mean,interior_points_per_scramble,boundary_points_per_face,scrambles,scramble_lambda_min,scramble_lambda_max,selected_epoch
square,1,151.00174161840965,147.54989675672536,0.02285963608557118,0.8514787695518473,122.0344452773447,0.0018005796302869536,4194304,16384,2,147.51880162346552,147.58099078722492,147000
square,2,181.8948721003363,177.97941527065413,0.021525932998937642,0.8196251271268751,141.29066470245078,0.0022928680823629945,4194304,16384,2,177.95730299893393,178.00152698258074,130000
square,3,181.8948721003363,178.0190209444403,0.02130819363482661,0.8164295641359461,140.79957686593042,0.0022702074058234276,4194304,16384,2,177.98756162968508,178.0504794863873,155000
square,1,151.00174161840965,147.5753135535634,0.02269131486910287,0.8514625102742972,122.03104209733795,0.0018119024177478294,8388608,32768,2,147.57362949096355,147.5769975701808,147000
square,2,181.8948721003363,178.0145208974091,0.02133293345832597,0.8196282257371499,141.2784933050409,0.002313616306775662,8388608,32768,2,178.00819496474753,178.0208468997583,130000
square,3,181.8948721003363,178.07015591123948,0.02102706989445552,0.8164402229673807,140.8150212498236,0.0022843082730925066,8388608,32768,2,178.05833898380098,178.08197264195238,155000
square,1,151.00174161840965,147.56401700694659,0.022766125573242736,0.8514662119575755,122.02616964017659,0.0018098024709857353,16777216,65536,2,147.5637119222682,147.56432209725722,147000
square,2,181.8948721003363,178.00335097254975,0.021394342143080964,0.8196207546854295,141.26681967118134,0.002314210594737631,16777216,65536,2,177.99517842235943,178.01152351621874,130000
square,3,181.8948721003363,178.12639220151536,0.02071790070443649,0.8164363684945687,140.82252967718424,0.0023031675524301126,16777216,65536,2,178.1196563037737,178.1331281063496,155000
exp,1,145.07515681305517,141.56483445727858,0.024196578055745405,0.7151501577423696,98.45878655945661,0.0013906635667192966,4194304,16384,2,141.56354319803958,141.56612574854887,185000
exp,2,175.80339130007061,171.55072505118747,0.024189898826379674,0.6563912158515406,109.11491945504292,0.0017447347707596804,4194304,16384,2,171.53358438077532,171.56786510988104,164000
exp,3,175.80339130007061,171.5282325708778,0.02431783993231246,0.6536127937817767,108.73206386207747,0.001690491720512165,4194304,16384,2,171.47010677439349,171.58635668969455,142000
exp,1,145.07515681305517,141.59056931614572,0.024019188215662027,0.7151505810839125,98.46225457683397,0.0013981616728048116,8388608,32768,2,141.58540652399049,141.59573205155712,185000
exp,2,175.80339130007061,171.55746904159824,0.024151537846190972,0.6563913067714611,109.11075310420539,0.0017490390932068832,8388608,32768,2,171.53797049221356,171.57696773249125,164000
exp,3,175.80339130007061,171.53290980580874,0.024291235013622615,0.6536158095256763,108.7418475708225,0.001687387066098005,8388608,32768,2,171.50073990511785,171.56507920535114,142000
exp,1,145.07515681305517,141.59118298184808,0.02401495823090212,0.7151518427828623,98.466779733328,0.0013962078489730553,16777216,65536,2,141.58707458240266,141.59529136593466,185000
exp,2,175.80339130007061,171.50815943198842,0.02443201940712774,0.6563869072678306,109.10187735947592,0.001736916490642476,16777216,65536,2,171.49309653508973,171.52322226571596,164000
exp,3,175.80339130007061,171.60344366638643,0.023890026253904822,0.6536104239543395,108.75864182713255,0.0017015788698394512,16777216,65536,2,171.5883964762817,171.61849070097728,142000
