potential,N,eigen_index,trials,lambda_ref,lambda_median,rel_error_median,rel_error_min,rel_error_max,retained_median,method_s_median
exp,128,1,20,145.07515681305517,145.35416292951143,0.001923183283653368,0.0014885539634324554,0.002257914327832476,104.0,2.774032473564148
exp,128,2,20,175.80339130007061,178.18144374000548,0.013526772278675155,0.011544896374891372,0.016341704414023855,104.0,2.774032473564148
exp,128,3,20,175.80339130007061,178.39538791582441,0.014743723636876014,0.013216546682053309,0.01650475588422458,104.0,2.774032473564148
exp,256,1,20,145.07515681305517,145.25078679118067,0.0012106137396895424,0.0009548338268181529,0.0014679625600356957,151.5,9.49923551082611
exp,256,2,20,175.80339130007061,177.5505723856154,0.00993826724629333,0.008001709109501352,0.01116936630060699,151.5,9.49923551082611
exp,256,3,20,175.80339130007061,177.72326251007985,0.010920558447773598,0.009374717495073638,0.012838902802488549,151.5,9.49923551082611
exp,384,1,20,145.07515681305517,145.21750408257253,0.0009811967303320066,0.0008327038925824429,0.0011653293130704386,177.0,20.862876772880554
exp,384,2,20,175.80339130007061,177.23941938215012,0.008168375316653747,0.0068077169652545665,0.009384148017220739,177.0,20.862876772880554
exp,384,3,20,175.80339130007061,177.38535384548624,0.00899847570468901,0.0074384967705835095,0.010402890263100987,177.0,20.862876772880554
exp,512,1,20,145.07515681305517,145.19824303833747,0.0008484307581407809,0.0007381124416471921,0.0009672722820842789,202.5,33.73888599872589
exp,512,2,20,175.80339130007061,177.03668320179673,0.007015176969032814,0.005581499938406822,0.007978765691462495,202.5,33.73888599872589
exp,512,3,20,175.80339130007061,177.14428896656108,0.007627257111336159,0.006072735238549518,0.008650579585651064,202.5,33.73888599872589
square,128,1,20,151.00174161840965,151.45318790722,0.002989676039308243,0.0027072374653857893,0.003545518929441185,103.0,3.275067090988159
square,128,2,20,181.8948721003363,184.5428044097119,0.014557487403575327,0.012317696852171676,0.016663198045289707,103.0,3.275067090988159
square,128,3,20,181.8948721003363,184.7654536595952,0.0157815419759356,0.01407639305242478,0.01776826652069326,103.0,3.275067090988159
square,256,1,20,151.00174161840965,151.31814645494472,0.0020953721006386167,0.0018575604813609815,0.002287428995045213,149.5,10.552354335784912
square,256,2,20,181.8948721003363,183.87182578878628,0.01086866092277445,0.00987891237647043,0.013462316936025003,149.5,10.552354335784912
square,256,3,20,181.8948721003363,184.03796819317068,0.01178205887878035,0.010485947036039755,0.013777050296334754,149.5,10.552354335784912
square,384,1,20,151.00174161840965,151.25627643091394,0.0016856415679462793,0.0014412138460276084,0.0019512142524495005,179.0,22.865181803703308
square,384,2,20,181.8948721003363,183.6209131122519,0.009489223043976185,0.007913061877247598,0.010616647060626328,179.0,22.865181803703308
square,384,3,20,181.8948721003363,183.71837182931813,0.01002501999053591,0.00843216147456687,0.010955264284821973,179.0,22.865181803703308
square,512,1,20,151.00174161840965,151.22321621235307,0.0014667022483959558,0.001285381151902132,0.0016805663643210192,200.0,33.77768015861511
square,512,2,20,181.8948721003363,183.40267840053974,0.008289438194671643,0.006126403688332262,0.009835347273143542,200.0,33.77768015861511
square,512,3,20,181.8948721003363,183.4147466563359,0.008355785616436753,0.007246817149705894,0.009821146554864605,200.0,33.77768015861511
