seed,features,radius,retained,truncation,keff,algebraic_residual,method_s,draw_s,assemble_s,eigensolve_s,power_iteration_residual,power_iterations,device,field_evaluation_s,keff_error,flux_error,recorded_at
2026071201,6000,105.0,5409,1e-12,0.9688090047165906,4.260719103261135e-09,25.658335200001602,0.0004833999992115423,6.50361939999857,19.150093799995375,1.3147806046021522e-09,4785,cuda,5.139292599997134,2.4555446270301418e-05,0.006792761008914503,1787834643.1100051
2026071202,6000,105.0,5417,1e-12,0.9688126038568325,2.1819376818263618e-08,10.480127400005586,0.00041029999556485564,3.3217288000014378,7.1574019999970915,6.714942890787039e-08,842,cuda,5.0185454999882495,2.084052222858282e-05,0.00659430906895053,1787834658.8290386
2026071203,6000,105.0,5405,1e-12,0.968812536769381,1.7790192734503784e-08,10.744134400010807,0.0003792000061366707,3.333137399997213,7.4092149999924,7.838128019788553e-08,948,cuda,5.157648799999151,2.0909767873395253e-05,0.006616607095133331,1787834674.9394176
2026071204,6000,105.0,5430,1e-12,0.9688125510440585,4.063037404301771e-08,10.817513200003305,0.00037740000698249787,3.3512534000037704,7.46502839999448,8.342125350173747e-08,934,cuda,6.005914199995459,2.089503398161624e-05,0.006590769652907059,1787834691.974593
2026071205,6000,105.0,5409,1e-12,0.9688125275502327,4.14607295060991e-09,11.196637500004726,0.0006637000042246655,3.477284399996279,7.7172909999935655,1.0084251557592125e-08,1041,cuda,6.719058799993945,2.091928360022833e-05,0.006645160250193581,1787834710.0933099
2026071206,6000,105.0,5418,1e-12,0.9688126067503009,2.6206795479966728e-08,10.70329629999469,0.0005668000085279346,3.488721200003056,7.212680800003,8.164223149521714e-08,821,cuda,5.574579099993571,2.0837535677787657e-05,0.0066012687953940115,1787834726.5111313
2026071207,6000,105.0,5399,1e-12,0.9688123533339918,1.304978308803193e-09,14.689365300000645,0.0007374999986495823,3.4246807000017725,11.262572899999213,3.506638610801778e-10,2139,cuda,5.731633599993074,2.1099104351348836e-05,0.006624721516166665,1787834747.0756283
2026071208,6000,105.0,5421,1e-12,0.9688125408652091,9.763444371109993e-09,11.246721699993941,0.000604200002271682,3.4744773999991594,7.770782999999938,2.5460679850832326e-08,998,cuda,5.512074400001438,2.0905540283100076e-05,0.0066193220098706585,1787834763.9902105
2026071209,6000,105.0,5400,1e-12,0.9688124430079921,6.945559635101789e-10,11.313112500007264,0.0003836000105366111,3.4511368999956176,7.860329799994361,2.1085368355336e-09,969,cuda,5.411608099995647,2.10065455520357e-05,0.006661887528360044,1787834780.882732
2026071210,6000,105.0,5383,1e-12,0.9688121169697896,2.2730450007118615e-09,14.44329789999756,0.00038979999953880906,3.39357210000162,11.048685600006138,2.5298363974887745e-10,2142,cuda,4.807817499997327,2.1343072354362402e-05,0.0065848389179526115,1787834800.2663767
2026071211,6000,105.0,5381,1e-12,0.9688124402390064,1.7173538665567574e-08,10.98615470000368,0.0004410999972606078,3.3647957000066526,7.620296399996732,5.264521747197836e-08,1094,cuda,5.094647200006875,2.1009403615596455e-05,0.006666541620174964,1787834816.492627
2026071212,6000,105.0,5430,1e-12,0.968812562992666,2.3809109849520124e-08,10.886446499993326,0.0006573999999091029,3.3188152000075206,7.566335600000457,4.494679481645681e-08,1075,cuda,4.742912300003809,2.088270098916234e-05,0.006630499029255974,1787834832.2592757
2026071213,6000,105.0,5371,1e-12,0.9688125172211021,1.3399296789945193e-08,10.25752410000132,0.0004082999948877841,3.2727336999960244,6.983697400006349,4.129556076722085e-08,890,cuda,5.230401799999527,2.0929945017468676e-05,0.006606326515701311,1787834847.887532
2026071214,6000,105.0,5392,1e-12,0.9688125347506766,3.525478716171e-08,10.307358300007763,0.0007001999911153689,3.1844114999985322,7.120794200003729,6.897897721048877e-08,966,cuda,4.807705600003828,2.0911851519123987e-05,0.006646011803927371,1787834863.1307955
2026071215,6000,105.0,5408,1e-12,0.9688125671263474,1.3782052785190143e-08,10.004665700005717,0.0007426999945892021,3.171023500006413,6.831432499995572,3.859621738583291e-08,834,cuda,5.205073999997694,2.08784343278569e-05,0.006627853393605647,1787834878.469336
2026071216,6000,105.0,5398,1e-12,0.9688125267666354,2.8360581110670212e-08,10.083697300011409,0.0004354999982751906,3.2695547999901464,6.8128775999939535,5.709127219494934e-08,824,cuda,4.886897499993211,2.0920092405733608e-05,0.0065952906949017405,1787834893.5751815
2026071217,6000,105.0,5399,1e-12,0.9688112938338926,4.740079920864664e-09,13.619521799992071,0.0006406000029528514,3.4174740000016754,10.200585700004012,4.512725884111656e-10,1997,cuda,5.144192899999325,2.2192688409252915e-05,0.006605305988292443,1787834912.485909
2026071218,6000,105.0,5399,1e-12,0.968812535703046,9.053705209551924e-09,10.878200400009518,0.0004783000040333718,3.3123175999935484,7.564059600001201,3.2631039630516727e-08,1076,cuda,5.204384600001504,2.091086851213802e-05,0.006623475567249338,1787834928.7110598
2026071219,6000,105.0,5422,1e-12,0.9688124846065194,1.706997415416144e-08,10.773188199993456,0.0004383000050438568,3.3066111000080127,7.465474799988442,3.832348207063502e-08,1008,cuda,4.98419489999651,2.096360880638558e-05,0.006629763498889731,1787834944.603371
2026071220,6000,105.0,5410,1e-12,0.9688124973529735,8.463843661661383e-08,10.370219099990209,0.0006839999987278134,3.501565800004755,6.867005599997356,2.719254512035339e-07,752,cuda,5.614884399998118,2.095045230076115e-05,0.006599669266165242,1787834960.7311308
